Station_ID,Year, Month, MSL
8724580-Key West,1913,1,1.42
8724580-Key West,1913,2,1.472
8724580-Key West,1913,3,1.426
8724580-Key West,1913,4,1.484
8724580-Key West,1913,5,1.49
8724580-Key West,1913,6,1.524
8724580-Key West,1913,7,1.49
8724580-Key West,1913,8,1.576
8724580-Key West,1913,9,1.582
8724580-Key West,1913,10,1.585
8724580-Key West,1913,11,1.521
8724580-Key West,1913,12,1.478
8724580-Key West,1914,1,1.436
8724580-Key West,1914,2,1.393
8724580-Key West,1914,3,1.362
8724580-Key West,1914,4,1.423
8724580-Key West,1914,5,1.554
8724580-Key West,1914,6,1.512
8724580-Key West,1914,7,1.454
8724580-Key West,1914,8,1.579
8724580-Key West,1914,9,1.622
8724580-Key West,1914,10,1.542
8724580-Key West,1914,11,1.527
8724580-Key West,1914,12,1.524
8724580-Key West,1915,1,1.484
8724580-Key West,1915,2,1.469
8724580-Key West,1915,3,1.46
8724580-Key West,1915,4,1.448
8724580-Key West,1915,5,1.433
8724580-Key West,1915,6,1.469
8724580-Key West,1915,7,1.475
8724580-Key West,1915,8,1.509
8724580-Key West,1915,9,1.582
8724580-Key West,1915,10,1.582
8724580-Key West,1915,11,1.548
8724580-Key West,1915,12,1.448
8724580-Key West,1916,1,1.426
8724580-Key West,1916,2,1.454
8724580-Key West,1916,3,1.387
8724580-Key West,1916,4,1.436
8724580-Key West,1916,5,1.509
8724580-Key West,1916,6,1.445
8724580-Key West,1916,7,1.515
8724580-Key West,1916,8,1.53
8724580-Key West,1916,9,1.594
8724580-Key West,1916,10,1.679
8724580-Key West,1916,11,1.609
8724580-Key West,1916,12,1.487
8724580-Key West,1917,1,1.393
8724580-Key West,1917,2,1.414
8724580-Key West,1917,3,1.554
8724580-Key West,1917,4,1.539
8724580-Key West,1917,5,1.503
8724580-Key West,1917,6,1.475
8724580-Key West,1917,7,1.448
8724580-Key West,1917,8,1.454
8724580-Key West,1917,9,1.622
8724580-Key West,1917,10,1.686
8724580-Key West,1917,11,1.664
8724580-Key West,1917,12,1.554
8724580-Key West,1918,1,1.448
8724580-Key West,1918,2,1.369
8724580-Key West,1918,3,1.442
8724580-Key West,1918,4,1.518
8724580-Key West,1918,5,1.503
8724580-Key West,1918,6,1.481
8724580-Key West,1918,7,1.487
8724580-Key West,1918,8,1.521
8724580-Key West,1918,9,1.564
8724580-Key West,1918,10,1.542
8724580-Key West,1918,11,1.561
8724580-Key West,1918,12,1.524
8724580-Key West,1919,1,1.426
8724580-Key West,1919,2,1.387
8724580-Key West,1919,3,1.448
8724580-Key West,1919,4,1.423
8724580-Key West,1919,5,1.451
8724580-Key West,1919,6,1.497
8724580-Key West,1919,7,1.506
8724580-Key West,1919,8,1.518
8724580-Key West,1919,9,1.609
8724580-Key West,1919,10,1.628
8724580-Key West,1919,11,1.588
8724580-Key West,1919,12,1.49
8724580-Key West,1920,1,1.381
8724580-Key West,1920,2,1.439
8724580-Key West,1920,3,1.298
8724580-Key West,1920,4,1.408
8724580-Key West,1920,5,1.451
8724580-Key West,1920,6,1.5
8724580-Key West,1920,7,1.494
8724580-Key West,1920,8,1.5
8724580-Key West,1920,9,1.573
8724580-Key West,1920,10,1.588
8724580-Key West,1920,11,1.545
8724580-Key West,1920,12,1.484
8724580-Key West,1921,1,1.442
8724580-Key West,1921,2,1.426
8724580-Key West,1921,3,1.442
8724580-Key West,1921,4,1.497
8724580-Key West,1921,5,1.509
8724580-Key West,1921,6,1.561
8724580-Key West,1921,7,1.5
8724580-Key West,1921,8,1.518
8724580-Key West,1921,9,1.618
8724580-Key West,1921,10,1.658
8724580-Key West,1921,11,1.524
8724580-Key West,1921,12,1.484
8724580-Key West,1922,1,1.417
8724580-Key West,1922,2,1.466
8724580-Key West,1922,3,1.466
8724580-Key West,1922,4,1.454
8724580-Key West,1922,5,1.487
8724580-Key West,1922,6,1.503
8724580-Key West,1922,7,1.521
8724580-Key West,1922,8,1.542
8724580-Key West,1922,9,1.609
8724580-Key West,1922,10,1.609
