Year,Mass,Mint
1983,2.5232,D
2000,2.501,P
1983,2.5138,D
1977,3.1005,D
2006,2.4854,P
1996,2.5204,P
1999,2.507,D
2002,2.4943,D
2001,2.4994,D
2001,2.4943,D
1998,2.5097,D
2001,2.5203,P
1998,2.4988,D
1990,2.51,P
1990,2.5259,D
1995,2.4908,P
2005,2.5025,D
2001,2.514,D
1978,3.1134,D
1980,3.0704,P
1998,2.4847,D
1972,3.1183,D
1968,3.0383,D
1994,2.4986,D
1989,2.5372,P
1991,2.5033,P
1997,2.4876,D
2001,2.5109,P
1977,3.0869,P
1999,2.5001,D
1995,2.4818,P
2002,2.4852,D
1987,2.5007,D
2004,2.5096,P
1984,2.5243,P
2000,2.5268,P
1996,2.498,D
1992,2.5292,P
1981,3.0906,D
1974,3.1144,D
2003,2.507,P
1995,2.494,D
1995,2.493,D
2004,2.532,D
1992,2.497,P
1966,3.05,P
1982,3.08,P
2002,2.487,D
1990,2.5,P
2000,2.488,P
1998,2.501,D
1962,3.1,D
1968,3.092,D
1979,3.102,D
1979,3.086,P
2000,2.491,D
1991,2.512,P
1998,2.51,P
1988,2.489,D
1990,2.494,D
2004,2.507,D
1990,2.494,P
1982,2.515,P
2003,2.492,P
1996,2.484,P
2001,2.521,D
2000,2.515,D
1994,2.508,P
1973,3.086,D
1973,3.246,D
2001,2.479,P
2006,2.48,P
1993,2.497,P
2000,2.492,P
1992,2.46,D
2005,2.506,P
1991,2.488,D
1990,2.5,P
2000,2.516,D
1998,2.506,D
1993,2.512,D
1997,2.5227,D
1976,3.1351,D
2001,2.5058,D
2007,2.5035,D
1990,2.523,P
1982,2.5053,P
1999,2.5192,P
2003,2.5051,P
1991,2.5153,P
1980,3.0895,D
1982,2.4764,P
1994,2.494,D
1982,3.0575,P
2005,2.5264,P
1999,2.4888,D
1997,2.4878,D
2000,2.4796,P
1975,3.0934,D
2005,2.4842,D
1967,3.0902,P
2001,2.5184,P
1988,2.558,D
2005,2.5191,P
1997,2.495,P
1996,2.5007,D
1977,3.0933,D
2000,2.4986,P
2001,2.5171,P
1999,2.4955,D
1996,2.4869,D
1996,2.5174,D
2000,2.5115,P
1994,2.502,P
1999,2.4904,D
1996,2.4662,D
2000,2.4822,P
1995,2.5102,D
2001,2.4766,P
1995,2.5072,D
1999,2.5084,D
1964,3.0737,D
1996,2.5023,D
2000,2.4937,P
2001,2.4848,P
1998,2.478,P
2001,2.5041,P
1985,2.5166,P
2006,2.4915,D
1975,3.0908,P
1992,2.5373,P
2004,2.5035,D
1974,3.1092,D
2002,2.4815,D
2006,2.5001,D
1983,2.5178,P
1995,2.5191,D
2008,2.496,D
2007,2.4903,D
2000,2.515,P
1995,2.5135,D
1998,2.5091,D
1991,2.5366,P
1978,3.0889,P
1997,2.4849,D
1998,2.5035,D
1999,2.5066,D
1997,2.4941,P
2007,2.5086,D
1991,2.4972,P
2004,2.4956,D
2001,2.5103,P
2006,2.4641,D
2000,2.5029,D
1989,2.5118,P
1993,2.5043,D
1980,3.0891,D
1972,3.0416,P
1989,2.5527,P
1976,3.086,P
1974,3.0085,D
1991,2.4924,D
1999,2.5048,D
1962,3.1311,D
1996,2.5239,P
1997,2.5233,P
1994,2.507,D
1997,2.5028,P
2001,2.5292,D
1996,2.5084,D
1999,2.5023,P
2008,2.4883,D
2000,2.5196,P
1997,2.538,D
1992,2.4996,P
1997,2.4902,P
1999,2.499,D
2000,2.4787,D
1994,2.4928,D
2007,2.5033,D
2001,2.494,P
2001,2.5053,P
1998,2.5053,P
2002,2.4943,D
1986,2.4851,D
1980,3.0267,P
1996,2.5133,D
1994,2.5035,D
1999,2.4643,D
1995,2.4928,D
1995,2.5095,D
1984,2.5282,D
1979,3.1132,D
1978,3.1241,P
1982,3.0969,P
2003,2.5217,P
2003,2.4874,D
1993,2.5011,D
1991,2.4618,D
1975,3.1044,D
1982,3.0872,P
1993,2.491,D
1994,2.511,P
2001,2.5034,D
1981,3.056,D
1973,3.141,D
1983,2.497,D
1991,2.472,D
1996,2.495,P
1988,2.49,D
1999,2.496,D
2007,2.488,D
2002,2.499,D
2003,2.496,D
2001,2.503,P
