Run,Event,pt,eta,phi,Q,chiSq,dxy,iso,MET,phiMET
173389,489963747,29.3153,-0.13925,1.35611,1,0.845578,-0.060012,0,30.667,-2.13081
173389,490024840,44.1461,-1.359,-0.538965,1,1.29431,-0.0125814,26.3423,27.9521,-2.66861
173389,490102189,42.7895,-1.01935,2.33902,-1,0.8078,-0.0840006,2.97476,5.15651,0.306059
173389,490092121,31.2215,-0.127033,-0.488923,-1,109.949,0.0722645,56.4897,4.21427,-0.116569
173389,490193981,36.9668,1.85566,1.3772,1,1.0597,-0.0676242,41.491,20.9963,-1.62506
173389,490263816,38.8076,0.121942,-1.64592,-1,0.71402,0.0675664,0.781317,44.7086,0.772317
173389,490374429,38.9578,1.54182,-0.789269,-1,1.20977,0.0823961,0.680459,47.1312,2.25502
173389,490393233,63.9973,1.75143,-1.28127,-1,0.763969,0.0841899,1.16972,21.3818,0.642337
173389,490524901,31.5998,-0.926136,2.75093,-1,0.64017,-0.0820748,5.29371,7.64188,-1.49055
173389,490513283,31.0776,0.538784,2.68874,1,1.05531,-0.0724923,0.223925,31.6226,-0.8311
173389,490341938,36.816,1.34284,-2.10597,1,1.5795,0.0825618,27.9453,42.2456,-2.41464
173389,490488072,59.0975,-0.730569,2.56198,1,1.11407,-0.0791354,0.946072,27.9719,1.49852
173389,490545020,29.8238,-0.50545,1.8971,-1,0.759113,-0.0799825,2.02244,29.2502,-0.934622
173389,490573706,29.5868,-0.848665,2.52991,-1,4.81978,-0.0790412,12.8169,12.0897,1.25301
173389,490769458,29.3245,-1.59603,-1.54779,1,0.848438,0.0788333,12.0035,12.5095,-1.06205
173389,490738535,30.9777,1.69029,-0.996944,-1,0.941605,0.0874204,0.184887,30.0798,2.47096
173389,490793417,30.6274,0.179324,-2.89931,1,2.61325,0.0583539,15.5566,48.3578,0.202507
173389,490823485,31.0571,0.304461,0.856414,1,0.727667,-0.0227933,55.0088,8.95612,1.96094
173389,490799326,37.8528,0.0882356,-2.63668,-1,1.78745,-0.000456989,46.7955,13.1504,-1.53726
173389,490922213,38.8343,-0.724458,-1.76121,1,1.04118,0.053991,1.13791,41.0549,1.06833
173389,490917272,25.5829,-0.145006,1.09111,1,0.979743,-0.0443383,1.16764,60.4665,-1.41136
173389,490962370,33.7188,1.29397,-0.0282164,1,0.684799,0.0448497,2.28667,36.592,-2.86718
173389,490975994,39.8959,-0.02461,-0.823956,-1,1.90966,0.085859,0.64449,21.274,-2.89176
173389,491024385,46.3798,-1.62058,-1.83128,-1,0.937916,0.050966,55.1992,18.8999,-1.50892
173389,491079492,41.8847,-1.37626,0.259391,1,0.851145,0.0284741,1.10571,40.9281,-2.64154
173389,491082371,30.9588,1.47467,0.118047,-1,0.782791,0.0359958,2.4062,12.4617,2.51325
173389,491012879,35.861,-1.46085,2.28084,-1,0.98687,-0.0859768,0.409503,65.1554,-0.883448
173389,491171827,39.3565,1.05419,-2.82406,1,0.94199,-0.0250343,44.3591,10.8911,1.41691
173389,491154128,30.2298,-1.77216,1.38714,1,0.699478,-0.0614166,31.8949,7.35169,1.67189
173389,489897109,38.8151,0.415359,-1.98015,1,1.24735,0.0489977,0,27.0979,1.03274
173389,489938083,33.4238,0.481964,-2.98484,-1,0.753616,-0.0291602,21.4947,8.92669,-1.36552
173389,490094736,32.9471,-1.66751,1.34352,-1,1.55581,-0.00728252,44.249,19.7117,1.41888
173389,490135889,34.9486,-0.521737,1.14925,-1,1.32537,-0.048026,0.257574,40.2955,-1.67091
173389,490141100,25.2439,-1.17732,2.97067,1,1.18655,-0.0540805,1.24136,13.2748,-0.402179
173389,490203392,37.7403,1.64655,2.417,-1,1.17894,-0.0585466,17.0563,8.33092,-1.43407
173389,490198914,37.1283,-0.765622,-0.537569,-1,45.6277,0.0782931,10.3937,3.8458,2.7822
173389,490207881,27.924,0.161801,0.0550327,1,0.701313,0.0379278,3.21361,13.6697,3.08424
173389,490242234,25.4578,0.443877,2.9557,-1,0.76768,-0.0563746,28.6243,6.9947,-0.516795
173389,490419761,29.4244,-0.298537,2.64624,1,0.791584,-0.0763174,0.658672,43.2919,0.478286
173389,490538198,31.2802,-1.52389,1.99951,1,0.726608,-0.0855564,0,44.0541,-1.45482
173389,490601756,40.1584,-1.42309,2.91935,1,0.655934,-0.0622087,2.05055,24.6476,-0.133416
173389,490633237,32.6331,1.12244,-1.40373,1,0.831151,0.0757742,24.4968,39.1545,-0.848877
173389,490643642,47.3415,1.6493,-1.69396,1,0.836056,0.0965664,4.11844,15.8001,-2.20544
173389,490617674,80.6963,2.02667,-1.52694,1,1.11358,0.0716846,0,24.9538,1.579
173389,490752263,46.8687,-0.375781,-3.03664,-1,542.21,-0.0389826,32.5063,19.802,-1.35775
173389,490745923,49.7046,0.297241,2.07696,1,1.00176,-0.0960095,37.8891,10.6982,1.83728
173389,490849610,46.0132,-1.27534,-1.54866,-1,1.03742,0.082551,35.9146,38.7846,1.08074
173389,490801780,33.2982,0.170802,-1.63978,-1,0.698517,0.0898527,77.7368,32.5213,-1.43901
173389,490901511,36.589,-1.94295,2.92408,1,1.2426,-0.0594524,0,54.6816,0.9004
173389,490938547,59.8443,-0.492278,-0.802091,-1,56.6987,0.0818518,47.1946,30.0416,2.52037
173389,490960924,49.5316,1.46375,1.52421,-1,1.22029,-0.0692364,0,37.9586,-1.87122
173389,490988376,41.8908,-1.09176,-0.387387,1,1.30101,0.0688766,1.38235,26.878,-2.9328
173389,491022031,30.1148,-0.741699,2.52378,1,0.611504,-0.0824197,41.8011,14.3232,3.00246
173389,490941584,35.4158,0.325769,1.11566,1,1.41606,-0.0432342,51.5992,36.7222,1.03312
173389,491068795,30.7593,1.90219,-0.159142,1,0.957122,0.0573445,0.224075,30.0825,-2.76803
173389,491104421,33.2778,1.20315,0.0826732,1,1.47586,0.0392975,0.314798,39.5271,-3.00335
173389,491156845,38.7123,-1.93284,1.07659,1,0.852085,-0.0331472,0.430811,57.4117,-1.49723
173389,491226733,26.6433,-0.0294904,3.12285,-1,0.709582,-0.0570175,0.822362,26.2711,0.966922
173389,491283807,29.7235,-0.682103,-2.39905,1,0.557354,0.0137706,0.527434,13.759,2.09459
173389,491243811,36.8275,-0.796591,-0.426583,1,0.836003,0.065186,21.0394,41.3198,-0.79045
173389,489850627,33.7052,-0.283576,1.39684,1,1.26076,-0.065551,8.70507,12.611,0.206331
173389,489853173,32.2093,-1.92351,2.24892,1,1.32857,0.0628652,73.0017,35.2839,-0.611883
173389,489962955,42.0397,-0.554164,-1.57373,1,0.930246,0.0633393,27.5653,2.37476,-1.43545
173389,489929556,36.4556,0.496483,-1.62564,-1,1.83382,0.0737392,97.0396,24.1062,0.0478154
173389,489905860,41.9379,1.61263,-1.06335,1,0.947764,0.0846634,0.397991,47.8606,1.4681
173389,489960525,36.4565,0.129807,-0.470469,-1,1.17923,0.125395,85.8214,13.2253,2.30697
173389,490244189,36.7344,0.893856,-1.30483,1,1.06695,0.0804289,0.809199,37.5794,1.73842
173389,490245206,50.6252,0.558248,-0.743126,1,1.38944,0.0824918,1.79912,30.4103,1.42415
173389,490382832,30.9983,-1.85673,-0.480145,1,1.55149,0.076242,13.9871,9.97783,-2.2248
173389,490410252,30.835,1.77267,-2.21564,-1,1.19549,0.0313752,19.9283,18.645,-1.45917
