Time (s),Position (m),Velocity (m/s),Acceleration (m/s/s)
0.05,0.248332,0.2764961111,-2.264297562
0.1,0.2653105,0.1789793056,-2.61995892
0.15,0.2731995,0.02921216667,-2.879945509
0.2,0.2697695,-0.1418686111,-2.489708904
0.25,0.2567355,-0.2681116667,-1.092428534
0.3,0.237699,-0.2755433333,0.8213156173
0.35,0.223979,-0.1654975,2.310591975
0.4,0.2190055,-0.0001905555556,2.801907716
0.45,0.224322,0.1590186111,2.222724691
0.5,0.237356,0.2576311111,0.7929228395
0.55,0.2543345,0.2551538889,-1.000099074
0.6,0.2677115,0.1430119444,-2.430218519
0.65,0.2714845,-0.03306138889,-2.831126235
0.7,0.2635955,-0.1925563889,-2.032327932
0.75,0.248675,-0.2708747222,-0.4170520062
0.8,0.231868,-0.2401952778,1.348498148
0.85,0.220549,-0.1130947222,2.573188117
0.9,0.218491,0.06116833333,2.764378858
0.95,0.2275805,0.2130411111,1.808636883
1,0.2437015,0.2751622222,0.09178425926
1.05,0.259994,0.2237122222,-1.660003549
1.1,0.2701125,0.07898527778,-2.71425216
1.15,0.269255,-0.09737388889,-2.623738272
1.2,0.2584505,-0.2300005556,-1.451398148
1.25,0.242158,-0.2673494444,0.3020834877
1.3,0.2268945,-0.1935091667,1.920006019
1.35,0.21952,-0.04154111111,2.757815278
1.4,0.2220925,0.1268147222,2.534653549
1.45,0.2337545,0.2559161111,1.27666929
1.5,0.252105,0.2813552778,-0.5880226852
1.55,0.2666825,0.1933186111,-2.315779321
1.6,0.2759435,0.009051388889,-3.09102284
1.65,0.2680545,-0.1833144444,-2.395495062
1.7,0.2526195,-0.2731613889,-0.7140010802
1.75,0.2361555,-0.2546775,1.059859414
1.8,0.223636,-0.1466325,2.355743056
1.85,0.2190055,0.01743583333,2.756809568
1.9,0.2255225,0.1757875,2.069909722
1.95,0.239757,0.2611563889,0.5395898148
2,0.256221,0.2398141667,-1.221461111
2.05,0.2680545,0.118335,-2.497283488
2.1,0.270284,-0.05430833333,-2.741935648
2.15,0.261709,-0.2055141667,-1.838014198
2.2,0.2461025,-0.2722086111,-0.1512270062
2.25,0.229467,-0.2236169444,1.602360494
2.3,0.2196915,-0.08165305556,2.66555463
2.35,0.2200345,0.09108555556,2.617968673
2.4,0.230496,0.2251413889,1.516134105
2.45,0.2464455,0.2681116667,-0.1847859568
2.5,0.2618805,0.2037991667,-1.813453704
2.55,0.2704555,0.05583277778,-2.714093364
2.6,0.268569,-0.1164294444,-2.490666975
2.65,0.256564,-0.2379086111,-1.239775617
2.7,0.240443,-0.2601083333,0.4851226852
2.75,0.2262085,-0.1796938889,2.000674537
2.8,0.21952,-0.02810694444,2.753527778
2.85,0.222607,0.1401536111,2.439111111
2.9,0.235298,0.2625855556,1.058959568
2.95,0.25382,0.2717322222,-0.8690391975
3,0.267883,0.1597808333,-2.429795062
3.05,0.2728565,-0.0214375,-2.87791821
3.1,0.2646245,-0.1823616667,-2.08674213
3.15,0.2509045,-0.2601083333,-0.5476354938
3.2,0.2347835,-0.2428630556,1.145344753
3.25,0.2224355,-0.1284344444,2.408357562
3.3,0.21952,0.03954027778,2.70567716
3.35,0.2272375,0.1894122222,1.914871605
3.4,0.241815,0.2624902778,0.375712037
3.45,0.2577645,0.2334305556,-1.320020679
3.5,0.2690835,0.1117608333,-2.549368673
3.55,0.2714845,-0.06497944444,-2.758185802
3.6,0.2615375,-0.2167569444,-1.770208179
3.65,0.2457595,-0.2760197222,-0.009580709877
3.7,0.228781,-0.2172333333,1.744218519
3.75,0.2200345,-0.06659916667,2.71097037
3.8,0.2214065,0.1036622222,2.53063071
3.85,0.2323825,0.2285713889,1.351462346
3.9,0.2481605,0.2611563889,-0.3533217593
3.95,0.263081,0.1874113889,-1.914183488
4,0.270284,0.03591972222,-2.691967747
4.05,0.267197,-0.1289108333,-2.375116204
4.1,0.255192,-0.2422913889,-1.103793056
4.15,0.2388995,-0.2597272222,0.6350263889
4.2,0.2244935,-0.1687369444,2.132210802
4.25,0.2190055,-0.008098611111,2.745640895
4.3,0.223636,0.1545405556,2.230717438
4.35,0.2371845,0.2539152778,0.8062617284
4.4,0.253477,0.2494372222,-0.949707716
4.45,0.266511,0.1429166667,-2.324936574
4.5,0.2704555,-0.02458166667,-2.735848457
4.55,0.2635955,-0.1812183333,-1.988764815
4.6,0.2488465,-0.2587744444,-0.4239861111
4.65,0.2330685,-0.2287619444,1.277304475
4.7,0.2220925,-0.1075686111,2.44488071
4.75,0.220549,0.056595,2.656079784
4.8,0.2286095,0.2002738889,1.880518673
4.85,0.2433585,0.2742094444,0.4588154321
4.9,0.2611945,0.2426725,-0.8545781481
4.95,0.27097,0.1469183333,-1.46002608
5,0.2711415,0.06574166667,-1.633166975
