Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
147115,366639895,58.7141,-7.31132,10.531,-57.2974,12.8202,-2.20267,2.17766,1,11.2836,-1.03234,-1.88066,-11.0778,2.14537,-2.34403,-2.07281,-1,8.947903996959312
147115,366704169,6.61188,-4.15213,-0.579855,-5.11278,4.19242,-1.02842,-3.00284,-1,17.1492,-11.7135,5.04474,11.4647,12.7536,0.808077,2.73492,1,15.893036894183407
147115,366952149,65.3959,7.51214,11.8871,63.8662,14.0619,2.21838,1.00721,1,25.1273,4.08786,2.59641,24.6563,4.84272,2.33021,0.565865,-1,3.726213905547919
147115,366639101,84.5058,8.82436,10.5789,83.3753,13.7761,2.50032,0.875576,1,12.6784,-1.13446,-3.20939,-12.2128,3.404,-1.98956,-1.91057,-1,65.3239855163469
147115,367825395,27.8812,11.939,-18.3462,17.2696,21.8888,0.724032,-0.993887,1,12.9218,-5.0263,11.6026,2.66263,12.6445,0.20905,1.9796,-1,34.26849068717646
147115,368386363,3.55057,1.82842,1.44129,-2.68069,2.32818,-0.984491,0.667547,1,71.8333,-12.8477,-11.5171,-69.7303,17.2542,-2.10469,-2.41075,-1,14.711556835437193
147115,368542782,8.37299,-3.25849,3.00007,7.10555,4.42924,1.25123,2.39746,-1,60.1585,-10.6454,-9.38045,58.4613,14.1886,2.12348,-2.41928,1,12.787724450468058
147115,368546272,9.34051,-2.01571,0.520275,-9.10556,2.08177,-2.18163,2.889,1,19.4326,-11.8094,-9.27687,-12.333,15.0174,-0.749175,-2.47572,-1,10.023391725976543
147115,369036793,28.2165,22.3933,-4.73948,16.4998,22.8894,0.669664,-0.208569,1,97.1467,-18.0195,9.98944,-94.9368,20.6032,-2.23248,2.6354,-1,97.55448087503925
147115,369782322,64.3116,-0.026877,13.3311,-62.9148,13.3311,-2.25587,1.57281,1,19.7217,-1.30586,3.89128,-19.2899,4.10455,-2.25176,1.89457,-1,2.3656386081627097
147115,369347180,52.0028,-16.4664,4.64576,49.1077,17.1092,1.7766,2.8666,-1,3.47042,-1.65843,-1.42875,-2.69296,2.189,-1.03518,-2.43045,1,24.167983615349446
147115,369752757,39.7472,16.2911,-12.2039,34.1395,20.3553,1.28919,-0.642934,-1,21.4539,-4.81004,3.35133,-20.6374,5.86241,-1.97128,2.53306,1,57.9058304704414
147115,368934550,39.6056,-31.3706,-24.1694,0.568363,39.6015,0.0143516,-2.48513,1,70.1602,49.2964,-7.87303,-49.2985,49.9211,-0.872527,-0.158371,-1,91.24611209063285
147115,369319342,53.9398,-13.0516,26.6081,-45.0685,29.6367,-1.20619,2.02683,1,11.1908,1.44228,-2.25771,-10.8654,2.67907,-2.10813,-1.00232,-1,19.63863750710574
147115,369337087,3.74446,-0.301915,-2.39291,2.86423,2.41188,1.00798,-1.6963,1,69.6545,9.18482,-8.68358,68.498,12.6398,2.3915,-0.757354,-1,9.656336083089387
147115,369449951,33.4986,9.75679,14.4464,-28.6053,17.4326,-1.27047,0.976787,-1,56.7482,-12.6667,-18.8168,52.0177,22.683,1.56758,-2.16328,1,86.99871530150259
147115,369909985,15.5468,11.3296,2.54632,-10.3373,11.6122,-0.801576,0.221077,-1,36.8469,0.881584,11.0382,35.1436,11.0733,1.87199,1.4911,1,42.38036198155631
147115,370199601,2.03697,1.074,1.73072,-0.019332,2.03687,-0.00949085,1.0154,-1,90.4454,-16.2391,-12.4868,-88.095,20.4848,-2.16513,-2.48608,1,21.051834647704137
147115,370033539,25.1596,11.8264,-17.1406,-14.1188,20.8246,-0.634539,-0.966838,1,11.2188,-0.321214,2.45988,10.9411,2.48076,2.18971,1.70064,-1,31.07084428619544
147115,370409867,65.8306,20.9791,4.38751,62.2439,21.433,1.78768,0.206166,1,10.0134,-3.02354,0.803669,-9.51214,3.12853,-1.83116,2.8818,-1,51.20862572827708
147115,370734787,10.6889,-10.462,-0.821687,-2.03063,10.4942,-0.192312,-3.06321,1,13.3979,3.28464,0.493984,12.9796,3.32158,2.07207,0.149273,-1,20.215640092593926
147115,370376188,13.3506,7.82447,-1.6444,-10.6917,7.9954,-1.10095,-0.207146,-1,111.19,7.72193,15.4555,-109.84,17.2772,-2.54891,1.10745,1,23.452788902388523
147115,370572917,54.5006,-5.61591,17.7039,51.2382,18.5733,1.73925,1.87797,1,3.57962,0.487619,-3.54028,0.205706,3.57371,0.0575294,-1.43392,-1,22.35909190075667
147115,370051448,13.0001,3.91218,0.399773,-12.3911,3.93256,-1.86511,0.101833,-1,28.2159,-26.0007,5.57331,-9.43612,26.5913,-0.347803,2.93044,1,26.433892765847244
147115,481809765,27.426,-0.123708,4.50818,-27.0527,4.50988,-2.49154,1.59823,-1,40.3234,-13.0389,2.00139,38.1046,13.1916,1.7826,2.98929,1,65.20895610116324
147115,482403239,4.19875,1.01489,0.508752,-4.04236,1.13527,-1.98226,0.464677,1,80.5127,-12.063,13.3551,-78.4756,17.9965,-2.17865,2.3054,-1,7.249062814660581
147115,481522582,33.5242,20.3424,3.35346,26.4351,20.6169,1.06755,0.163381,1,59.6179,-22.4068,-8.28623,-54.6221,23.8899,-1.56484,-2.78738,-1,88.61348574668023
147115,481781393,17.724,4.34602,-5.28443,16.3502,6.84201,1.60546,-0.882534,1,138.932,14.1619,21.2725,136.561,25.5554,2.37772,0.983437,-1,23.68767117106896
147115,482384299,3.87201,-0.794786,2.39868,2.93379,2.52693,0.99077,1.89075,-1,56.4449,-6.34689,10.6198,-55.0723,12.3719,-2.19875,2.10948,1,26.442788229092336
147115,482008299,178.241,-22.7308,-22.415,-175.359,31.9237,-2.40482,-2.36319,-1,18.7776,-5.14459,2.21643,-17.9226,5.60173,-1.87971,2.7348,1,16.53881040773531
147115,483347438,11.9085,1.84655,-2.04962,-11.5845,2.75875,-2.14192,-0.837471,-1,80.1125,13.6387,8.62948,78.47,16.1395,2.28501,0.564131,1,60.918854269986895
147115,483513705,82.472,-19.4076,-6.83868,79.8637,20.5772,2.06548,-2.80281,1,16.2792,-4.6913,-0.438727,15.5825,4.71177,1.91134,-3.04834,-1,2.8468883269902214
147115,483221347,7.35689,-2.83564,-0.216544,6.78498,2.8439,1.60396,-3.06538,-1,90.0491,13.4991,9.18126,-88.5568,16.3255,-2.39246,0.597272,1,51.06095210271197
147115,482625428,69.0897,-19.2264,15.6819,-64.4811,24.8108,-1.68335,2.45739,-1,15.0281,2.3025,-3.95021,14.3156,4.57227,1.85907,-1.04306,1,64.305333722203
147115,482619421,29.7965,-5.30355,-17.1016,23.8168,17.9051,1.09671,-1.87151,-1,21.5101,-5.44486,0.496654,20.8037,5.46746,2.0463,3.05063,1,15.815360701513708
147115,483445933,13.2605,-0.390004,-3.28856,12.8404,3.3116,2.06454,-1.68884,1,27.4791,0.475611,-14.1331,23.5612,14.1411,1.28353,-1.53716,-1,5.578257782314325
147115,488390967,55.1197,6.73058,-11.6996,53.4416,13.4974,2.08482,-1.04875,1,25.1815,-5.60786,3.12344,24.3497,6.41903,2.04333,2.63341,-1,17.943950100409854
147115,488527679,5.93737,-4.75385,3.27502,1.38834,5.77277,0.238238,2.53834,1,12.2478,-11.6645,3.73362,0.0965306,12.2474,0.00788161,2.83181,-1,3.1324616291433847
147115,488759081,21.2844,3.31197,-13.6589,15.9842,14.0547,0.975195,-1.33291,1,17.5175,0.860473,4.53729,16.8978,4.61816,2.00851,1.38338,-1,17.993011699814218
147115,488111674,27.303,-19.6781,16.417,-9.41847,25.6271,-0.359712,2.4463,-1,17.9914,1.43845,4.77558,-17.2863,4.98751,-1.95631,1.27823,1,23.592957665968875
147115,488057117,8.04623,8.01837,0.315885,-0.589785,8.02459,-0.0734312,0.0393748,-1,36.7881,-10.7435,-2.7661,35.0755,11.0939,1.86838,-2.8896,1,28.415184680458264
147115,489463767,5.97084,-2.07317,0.937601,-5.52031,2.27533,-1.61945,2.71687,-1,262.043,33.1724,-31.9864,257.959,46.0819,2.42341,-0.767198,1,78.58076225574676
147115,489970199,12.2508,3.63239,4.10431,-10.9564,5.48084,-1.4432,0.846321,-1,22.9973,-8.28368,-1.66142,21.3892,8.44865,1.65893,-2.94365,1,33.2563231213825
147115,490200328,12.9522,-1.67525,8.75488,9.39704,8.91372,0.9192,1.75986,-1,15.0101,-2.44238,-12.7827,-7.47948,13.0139,-0.547036,-1.75959,1,27.295328797563513
147115,489422321,26.803,-3.95884,-2.78091,-26.3628,4.83796,-2.39692,-2.52922,1,158.525,-13.4975,-23.4979,-156.192,27.0986,-2.45219,-2.09219,-1,4.991284378624204
147115,489268210,21.6268,-16.6226,11.8109,7.20479,20.3914,0.346359,2.52383,1,17.2374,1.83583,-2.70975,-16.9238,3.27308,-2.34536,-0.97534,-1,33.383939071123706
147115,489348979,63.4479,30.1173,-55.6454,4.70911,63.2729,0.0743568,-1.07471,1,12.9814,-10.8676,-0.577937,7.07651,10.883,0.611422,-3.08846,-1,46.593159221070536
147115,67248777,2.59696,2.21786,1.27679,0.4417,2.55912,0.171753,0.522351,-1,4.14791,2.49591,2.125,-2.54164,3.27799,-0.713317,0.7053,1,2.700318591629514
