#[event number] [num events] [num hit detectors] [ID1.chan] [JD1] [Rising edge 1], [ID2.chan] [JD2] [Rising edge 2], ...
#gatewidth=1.15740740740741e-11 (1000 nanoseconds), detector coincidence=2, channel coincidence=2, event coincidence=2
Evnt	#HitDAQ1	#HitDAQ2	MinFracDay	JulDay	SSDB	eventDateTime	6119.1FracDay	6119.1nsAfter1stHit	6119.2FracDay	6119.2nsAfter1stHit	6119.3FracDay	6119.3nsAfter1stHit	6119.4FracDay	6119.4nsAfter1stHit	6148.1FracDay	6148.1nsAfter1stHit	6148.2FracDay	6148.2nsAfter1stHit	6148.3FracDay	6148.3nsAfter1stHit	6148.4FracDay	6148.4nsAfter1stHit
1	4	2	0.4733666558919711	2457067	40898.8790690663	Feb 13, 2015 23:21:38 UTC	0.4733666558920290	5.002	0.4733666558919856	1.257	0.4733666558919711	0.0	0.4733666558920144	3.741	0.4733666558949270	255.391	0.4733666558948252	246.595	-1	-1	-1	-1	
2	4	2	0.4784243013454433	2457067	41335.8596362463	Feb 13, 2015 23:28:55 UTC	0.4784243013455157	6.259	0.4784243013454578	1.257	0.4784243013454723	2.508	0.4784243013454433	0.0	0.4784243013487899	289.146	0.4784243013483265	249.108	-1	-1	-1	-1	
3	4	4	0.4805810863670723	2457067	41522.20586211505	Feb 13, 2015 23:32:02 UTC	0.4805810863671013	2.504	0.4805810863670723	0.0	0.4805810863670723	0.0	0.4805810863670867	1.242	0.4805810863705926	304.154	0.4805810863705630	301.597	0.4805810863706187	306.408	0.4805810863705318	298.902	
4	4	2	0.4888064703068438	2457067	42232.87903451131	Feb 13, 2015 23:43:52 UTC	0.4888064703068438	0.0	0.4888064703068726	2.484	0.4888064703068438	0.0	0.4888064703068438	0.0	0.4888064703098431	259.137	-1	-1	-1	-1	0.4888064703097101	247.645	
5	4	2	0.4909980955641354	2457067	42422.2354567413	Feb 13, 2015 23:47:02 UTC	0.4909980955641642	2.489	0.4909980955641354	0.0	0.4909980955641354	0.0	0.4909980955641354	0.0	0.4909980955671494	260.412	0.4909980955671487	260.35	-1	-1	-1	-1	
6	4	3	0.501031374944286	2457067	43289.11079518631	Feb 14, 2015 00:01:29 UTC	0.5010313749443148	2.494	0.5010313749442860	0.0	0.5010313749442860	0.0	0.5010313749443004	1.247	0.5010313749476759	292.892	0.5010313749476030	286.59	0.5010313749478755	310.139	-1	-1	
7	4	3	0.5016605524033426	2457067	43343.4717276488	Feb 14, 2015 00:02:23 UTC	0.5016605524033860	3.751	0.5016605524033715	2.494	0.5016605524033426	0.0	0.5016605524033572	1.257	0.5016605524069786	314.149	-1	-1	0.5016605524069323	310.149	0.5016605524069467	311.396	
8	4	2	0.5043411165469914	2457067	43575.07246966006	Feb 14, 2015 00:06:15 UTC	0.5043411165469914	0.0	0.5043411165470059	1.247	0.5043411165470059	1.247	0.5043411165469914	0.0	0.5043411165503958	294.139	0.5043411165502650	282.839	-1	-1	-1	-1	
9	4	2	0.5063299052963114	2457067	43746.903817601305	Feb 14, 2015 00:09:06 UTC	0.5063299052963547	3.741	0.5063299052963258	1.247	0.5063299052963547	3.741	0.5063299052963114	0.0	0.5063299052997882	300.393	0.5063299052996284	286.59	-1	-1	-1	-1	
10	4	2	0.507389861630831	2457067	43838.484044903795	Feb 14, 2015 00:10:38 UTC	0.5073898616309179	7.511	0.5073898616308454	1.247	0.5073898616308889	5.007	0.5073898616308310	0.0	0.5073898616343369	302.906	0.5073898616341771	289.103	-1	-1	-1	-1	
11	4	2	0.5114159943271708	2457067	44186.34190986756	Feb 14, 2015 00:16:26 UTC	0.5114159943271996	2.494	0.5114159943271996	2.494	0.5114159943271708	0.0	0.5114159943271708	0.0	0.5114159943306764	302.887	0.5114159943305022	287.837	-1	-1	-1	-1	
