"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.801920834E-2,-2.359460449E1,-1.005340576E1,-3.688320160E1,4.492378979E1
2.803420834E-2,-2.349255371E1,-9.996078491E0,-3.678224182E1,4.477449026E1
3.804920835E-2,-2.351655579E1,-9.967300415E0,-3.677960968E1,4.477851228E1
4.806541669E-2,-2.358816528E1,-9.863769531E0,-3.687081146E1,4.486816498E1
5.808041667E-2,-2.355625916E1,-9.851898193E0,-3.674628448E1,4.474647100E1
6.809541667E-2,-2.356727600E1,-9.945877075E0,-3.653994751E1,4.460386455E1
7.811041668E-2,-2.347210693E1,-9.886260986E0,-3.685243225E1,4.479709503E1
8.812541669E-2,-2.363902283E1,-9.837692261E0,-3.679190826E1,4.482441414E1
9.814141667E-2,-2.362680054E1,-1.004447937E1,-3.687337494E1,4.493064710E1
1.081564167E-1,-2.353234863E1,-9.876846313E0,-3.700354004E1,4.495092325E1
1.181714167E-1,-2.356086731E1,-9.920257568E0,-3.677936554E1,4.479115658E1
1.281864167E-1,-2.360636902E1,-9.959213257E0,-3.678330994E1,4.482698380E1
1.382014167E-1,-2.356613159E1,-9.868988037E0,-3.679614258E1,4.479637923E1
1.482164167E-1,-2.355813599E1,-9.772430420E0,-3.664814758E1,4.464944444E1
1.582314167E-1,-2.366015625E1,-9.784927368E0,-3.679155731E1,4.482372683E1
1.682464167E-1,-2.362191772E1,-9.805114746E0,-3.670797729E1,4.473936599E1
1.782614167E-1,-2.351408386E1,-9.837432861E0,-3.656227875E1,4.457002863E1
1.882764167E-1,-2.358457947E1,-9.900192261E0,-3.687926483E1,4.488124742E1
1.982914167E-1,-2.370692444E1,-9.816177368E0,-3.661152649E1,4.470771160E1
2.083074167E-1,-2.374246216E1,-9.863647461E0,-3.653571320E1,4.467498617E1
2.183224167E-1,-2.373347473E1,-9.887420654E0,-3.676072693E1,4.485966957E1
2.283374167E-1,-2.379800415E1,-9.960968018E0,-3.647599030E1,4.467732930E1
2.383524167E-1,-2.368280029E1,-9.875701904E0,-3.677532959E1,4.484227229E1
2.483674167E-1,-2.369931030E1,-9.953521729E0,-3.659218597E1,4.471820634E1
2.583824167E-1,-2.378628540E1,-9.808639526E0,-3.671389008E1,4.483198085E1
2.683974167E-1,-2.376802063E1,-9.888351440E0,-3.676185608E1,4.487908601E1
2.784124167E-1,-2.371372986E1,-9.869354248E0,-3.668068695E1,4.477965980E1
2.884274167E-1,-2.362884521E1,-9.807800293E0,-3.655902863E1,4.462149534E1
2.984424167E-1,-2.366426086E1,-9.849426270E0,-3.659263611E1,4.467694548E1
3.084574167E-1,-2.364651489E1,-9.795364380E0,-3.648989868E1,4.457151036E1
3.184734167E-1,-2.369602966E1,-9.825714111E0,-3.664853668E1,4.473434609E1
3.284884167E-1,-2.360005188E1,-9.804290771E0,-3.663253021E1,4.466574567E1
3.385034167E-1,-2.374894714E1,-9.830505371E0,-3.695452881E1,4.501431468E1
3.485184167E-1,-2.380812073E1,-9.910064697E0,-3.668631744E1,4.484330365E1
3.585334167E-1,-2.383403015E1,-9.829925537E0,-3.691457367E1,4.502637203E1
3.685484167E-1,-2.390681458E1,-9.898391724E0,-3.654389191E1,4.477689111E1
3.785634167E-1,-2.391375732E1,-9.956359863E0,-3.659908295E1,4.483848530E1
3.885784167E-1,-2.400421143E1,-9.831268311E0,-3.669037628E1,4.493372580E1
3.985934167E-1,-2.392242432E1,-9.733184814E0,-3.688341522E1,4.502669864E1
4.086084167E-1,-2.380421448E1,-9.890579224E0,-3.665916443E1,4.481471322E1
4.186234167E-1,-2.382870483E1,-9.896194458E0,-3.663071442E1,4.480570363E1
4.286394167E-1,-2.379168701E1,-9.964797974E0,-3.637407684E1,4.459164760E1
4.386544167E-1,-2.383905029E1,-9.913482666E0,-3.671718597E1,4.488573496E1
4.486694167E-1,-2.394131470E1,-9.941986084E0,-3.656636810E1,4.482330770E1
4.586844167E-1,-2.393809509E1,-9.827255249E0,-3.661317444E1,4.483449436E1
4.686994167E-1,-2.386918640E1,-9.783309937E0,-3.690305328E1,4.502539899E1
4.787144167E-1,-2.374729919E1,-9.622390747E0,-3.680356598E1,4.484447671E1
4.887294167E-1,-2.370846558E1,-9.608337402E0,-3.665036011E1,4.469519419E1
4.987444167E-1,-2.380889893E1,-9.699615479E0,-3.674539185E1,4.484607040E1
5.087594167E-1,-2.375932312E1,-9.606613159E0,-3.680816650E1,4.485123825E1
5.187744167E-1,-2.356158447E1,-9.646514893E0,-3.675474548E1,4.471146193E1
5.287894167E-1,-2.355587769E1,-9.612182617E0,-3.668251801E1,4.464169078E1
5.388054167E-1,-2.359863281E1,-9.730758667E0,-3.652840424E1,4.456352153E1
5.488204167E-1,-2.365776062E1,-9.689331055E0,-3.693399811E1,4.491873763E1
5.588354167E-1,-2.365168762E1,-9.727142334E0,-3.677178955E1,4.479044688E1
5.688504167E-1,-2.367648315E1,-9.708740234E0,-3.697322845E1,4.496504324E1
5.788654167E-1,-2.369430542E1,-9.672103882E0,-3.685532379E1,4.486964001E1
5.888804167E-1,-2.378877258E1,-9.820892334E0,-3.686688232E1,4.496134606E1
5.988954167E-1,-2.359063721E1,-9.807952881E0,-3.687607574E1,4.486155443E1
6.089104167E-1,-2.358882141E1,-9.671478271E0,-3.707755280E1,4.499683221E1
6.189254167E-1,-2.378692627E1,-9.850418091E0,-3.676547241E1,4.488372266E1
6.289404167E-1,-2.364761353E1,-9.720260620E0,-3.672104645E1,4.474514883E1
