proper,ra,dec,dist,mag,absmag,ci,temp,x,y,z,con,lum,var,var_min,var_max
Sol,0,0,0,-26.7,4.85,0.656,5756.588113,0.000005,0,0,,1,,,
Proxima Centauri,14.495985,-62.679485,1.2959,11.01,15.447,1.807,3383.441193,-0.472264,-0.361451,-1.151219,Cen,5.77E-05,V645,11.079,10.939
Rigil Kentaurus,14.660765,-60.833976,1.3248,-0.01,4.379,0.71,5567.728737,-0.495203,-0.414084,-1.156625,Cen,1.543121066,,0.113,-0.087
,14.660346,-60.8383,1.3248,1.35,5.739,0.9,4996.415833,-0.495181,-0.413973,-1.156674,Cen,0.440960816,,,
Barnard's Star,17.963472,4.693388,1.8238,9.54,13.235,1.57,3691.168543,-0.017373,-1.816613,0.149123,Oph,0.000442588,V2500,9.59,9.49
,10.941484,7.01532,2.3906,13.45,16.557,2,3169.353727,-2.282811,0.649334,0.292057,,2.08E-05,,,
Lalande 21185,11.055632,35.969877,2.5469,7.49,10.46,1.502,3790.500746,-1.998,0.504305,1.495504,UMa,0.005701643,,,
,1.650199,-17.949782,2.6267,12.57,15.473,1.85,3333.196615,2.270499,1.04697,-0.809963,,5.63E-05,,,
,1.650199,-17.949782,2.6267,12.7,15.603,,,2.270631,1.047031,-0.81001,,5.00E-05,,,
,6.752559,-16.71524,2.6371,8.44,11.334,-0.03,10515.56178,-0.494379,2.476814,-0.75847,CMa,0.002549177,,,
Sirius,6.752481,-16.716116,2.6371,-1.44,1.454,0.009,10014.34336,-0.494323,2.476731,-0.758485,CMa,22.82443312,,-1.333,-1.523
,18.830369,-23.836232,2.9698,10.37,13.006,1.51,3778.527101,0.585883,-2.652454,-1.200123,Sgr,0.000546512,V1216,10.408,10.338
,23.698379,44.174924,3.1686,12.29,14.786,1.9,3276.674296,2.262649,-0.179022,2.205274,,0.000106072,,,
,3.548848,-9.458262,3.2161,3.72,6.183,0.881,5047.903627,1.89897,2.541426,-0.528523,Eri,0.292954383,Eps,3.735,3.715
Lacaille 9352,23.097531,-35.853073,3.2759,7.35,9.773,1.483,3819.256869,2.581532,-0.621353,-1.918773,PsA,0.010734949,,,
,11.795666,0.804563,3.3553,11.12,13.491,1.746,3457.464837,-3.349892,0.179372,0.047111,Vir,0.000349623,,11.171,11.041
,22.642562,-15.302542,3.3979,12.66,15.004,1.98,3190.234928,3.069893,-1.139264,-0.895949,,8.68E-05,,,
,18.713249,59.626847,3.4545,9.7,12.008,1.561,3704.004116,0.324167,-1.716358,2.980381,Dra,0.001370251,,,
,21.114794,38.749415,3.4865,5.2,7.488,1.069,4582.952465,1.979356,-1.863636,2.181892,Cyg,0.088064323,V1803,5.682,5.002
,7.655006,5.226824,3.4974,10.7,12.981,,,-1.462274,3.161021,0.31861,CMi,0.000559242,,,
,21.115163,38.742055,3.498,6.05,8.331,1.309,4105.41207,1.986273,-1.869789,2.188742,Cyg,0.040513522,,,
Procyon,7.655033,5.224993,3.5142,0.4,2.671,0.432,6714.300869,-1.469312,3.17617,0.320024,CMi,7.440463662,,,
,0.30516,44.023502,3.568,11.06,13.298,1.79,3403.739628,2.557764,0.20548,2.479994,And,0.000417638,,,
,18.713179,59.630396,3.5691,8.94,11.177,1.504,3787.499946,0.334856,-1.773105,3.079349,Dra,0.002945778,,9.149,8.809
,0.306174,44.022954,3.5873,8.09,10.316,1.56,3705.436013,2.571275,0.20667,2.493057,And,0.006510285,GX,8.125,8.065
,22.055486,-56.785977,3.6224,4.69,6.895,1.056,4612.184893,1.732589,-0.966715,-3.030307,Ind,0.152054753,,,
,8.497244,26.778532,3.6258,14.81,17.013,2.06,3108.364163,-1.968452,2.569351,1.633464,,1.36E-05,,,
,1.734479,-15.93748,3.6502,3.49,5.678,0.727,5510.979622,3.154083,1.539508,-1.00226,Cet,0.466444525,,,
,1.208502,-16.998967,3.6899,12.1,14.265,1.85,3333.196615,3.353772,1.097975,-1.078832,Cet,0.000171396,YZ,12.201,12.001
,16.908863,-62.399734,3.6964,11.85,14.011,1.729,3478.695082,-0.482554,-1.64315,-3.275755,Ara,0.000216571,,,
Luyten's Star,7.456805,5.225785,3.8026,9.84,11.94,1.573,3686.910509,-1.409549,3.514856,0.346358,CMi,0.001458814,,,
Kapteyn's Star,5.194169,-45.018417,3.9114,8.86,10.898,1.543,3729.955343,0.578997,2.705174,-2.76822,Pic,0.003808904,VZ,9.148,8.828
Lacaille 8760,21.287725,-38.867362,3.9462,6.69,8.709,1.397,3955.30862,2.330004,-2.003156,-2.476477,Mic,0.028602237,AX,6.707,6.667
Kruger 60,22.466642,57.695875,4.001,9.59,11.579,1.613,3631.095121,1.968033,-0.83547,3.381486,Cep,0.00203423,DO,9.628,9.548
,22.467267,57.696623,4.0077,11.3,13.286,1.8,3391.769011,1.97065,-0.836546,3.386059,Cep,0.00042228,,,
,14.825751,-26.105704,4.034,11.72,13.691,1.48,3823.838842,-2.675893,-2.442217,-1.775248,Hya,0.000290804,,11.84,11.53
,6.489939,-2.812227,4.1171,14.6,16.527,,,-0.526003,4.078362,-0.201997,,2.13E-05,,,
,6.489833,-2.813979,4.1268,11.12,13.042,1.69,3528.434308,-0.527146,4.088126,-0.202607,Mon,0.000528689,V577,11.176,11.066
,16.908971,-62.403319,4.1465,11.72,13.632,,,-0.541199,-1.843027,-3.674755,Ara,0.000307044,,12.005,11.545
Van Maanen's Star,0.819416,5.38861,4.2626,12.37,14.222,0.554,6153.698972,4.146957,0.903519,0.400348,,0.00017832,,12.621,12.091
,3.599704,-44.511897,4.2918,13.03,14.867,1.9,3276.674296,1.798507,2.475398,-3.00808,,9.84E-05,,,
,16.505017,-12.662594,4.2922,10.1,11.937,1.604,3643.500268,-1.597477,-3.871023,-0.940865,Oph,0.001462851,V2306,10.143,10.063
,12.554778,9.020714,4.3066,13.04,14.869,1.83,3356.373216,-4.208555,-0.615564,0.675238,,9.83E-05,,,
,12.554778,9.020714,4.3066,13.3,15.129,,,-4.208555,-0.615564,0.675238,,7.73E-05,,,
,0.089883,-37.357364,4.3399,8.56,10.373,1.462,3851.572659,3.448844,0.081384,-2.633508,Scl,0.006177319,,,
,8.982236,8.475397,4.4643,10.89,12.641,1.67,3554.517282,-3.107711,3.136747,0.657969,Cnc,0.000764892,,,
,2.003563,13.05304,4.4683,12.28,14.029,1.8,3391.769011,3.76629,2.179192,1.008821,,0.00021301,,,
,10.742414,-61.193586,4.4883,13.92,15.66,1.82,3368.086761,-2.046475,0.699423,-3.932885,,4.74E-05,,,
,10.803471,-11.336727,4.5249,15.6,17.322,2.1,3069.027661,-4.220385,1.367034,-0.889411,,1.03E-05,,,
,17.607283,68.339141,4.5282,9.15,10.87,1.505,3786.001397,-0.171572,-1.662506,4.208248,Dra,0.003908409,,,
,17.47772,-46.89519,4.5405,9.38,11.094,1.553,3715.491566,-0.422874,-3.073668,-3.314975,Ara,0.003179801,,,
,11.761338,-64.841517,4.6081,11.5,13.182,0.196,8194.093023,-1.955207,0.122023,-4.170954,Mus,0.000464729,,11.575,11.405
,13.057957,25.797084,4.6164,8.75,10.428,0.455,6600.284253,-3.997663,-1.136452,2.008857,Com,0.005872189,,,
,14.825516,-26.111672,4.6583,12.07,13.729,1.524,3757.761272,-3.089858,-2.819683,-2.050308,,0.000280802,,,
,22.887977,-14.263701,4.6887,10.16,11.805,1.597,3653.20966,4.352933,-1.304309,-1.155222,Aqr,0.001651962,IL,10.202,10.102
,0.112155,-7.539302,4.6992,13.75,15.39,1.98,3190.234928,4.65444,0.136696,-0.616283,,6.08E-05,,,
,19.898222,44.414534,4.717,13.41,15.042,1.9,3276.674296,1.606452,-2.961705,3.301167,,8.38E-05,,,
,19.8985,44.414552,4.717,14.01,15.642,1.98,3190.234928,1.606668,-2.961587,3.301168,,4.82E-05,,,
,23.11082,-14.872194,4.804,12.24,13.832,,,4.517834,-1.071109,-1.233013,,0.000255388,,12.955,10.405
,11.093507,43.521487,4.8323,14.4,15.979,2.09,3078.765532,-3.405436,0.825166,3.32765,,3.54E-05,,,
,11.091542,43.526777,4.848,8.82,10.392,1.491,3807.093912,-3.416483,0.828486,3.33921,UMa,0.006070158,WX,8.858,8.788
,10.189602,49.454237,4.8731,6.6,8.161,1.326,4075.494327,-2.818415,1.445842,3.702832,UMa,0.047380539,,,
,10.326843,19.870262,4.9044,9.4,10.947,1.54,3734.317309,-4.17747,1.956673,1.667178,Leo,0.003640827,,,
,21.559441,-49.009006,4.9537,8.66,10.185,1.521,3762.191106,2.608354,-1.937731,-3.739143,Gru,0.007345139,,,
,4.254537,-7.652871,4.9845,4.43,5.942,0.82,5221.100154,2.179524,4.432894,-0.66374,Eri,0.365763193,,,
,0.257803,-16.133807,4.9868,11.49,13.001,1.75,3452.508366,4.779241,0.32306,-1.385667,Cet,0.000549035,,11.558,11.378
,4.256188,-7.657504,5.0444,9.52,11.006,0.03,9765.803485,2.203473,4.486451,-0.67203,Eri,0.00344826,,,
,4.256188,-7.657504,5.0444,11.17,12.656,1.67,3554.517282,2.202917,4.485319,-0.671861,Eri,0.000754397,,,
,17.617729,-44.319215,5.0787,10.94,12.411,1.655,3574.343152,-0.363042,-3.615031,-3.547885,Sco,0.000945366,,11.004,10.884
