Position-(m)-Run-1,Force-(N)-Run-1,Position-(m)-Run-2,Force-(N)-Run-2,Position-(m)-Run-3,Force-(N)-Run-3,Position-(m)-Run-4,Force-(N)-Run-4,Position-(m)-Run-5,Force-(N)-Run-5,Position-(m)-Run-6,Force-(N)-Run-6
0.0103,0.28,0.0049,0.19,0.0059,0.18,0.0058,0.17,0.0076,0.19,0.0064,0.22
0.0109,0.29,0.0052,0.18,0.0062,0.19,0.0063,0.2,0.008,0.18,0.0068,0.22
0.0116,0.31,0.0056,0.19,0.0064,0.19,0.0068,0.21,0.0084,0.19,0.0073,0.23
0.0124,0.31,0.0059,0.2,0.0067,0.19,0.0073,0.2,0.0087,0.2,0.0076,0.25
0.013,0.33,0.0063,0.2,0.0069,0.19,0.0078,0.23,0.0091,0.2,0.008,0.24
0.0137,0.34,0.0067,0.21,0.0072,0.2,0.0082,0.24,0.0096,0.21,0.0084,0.25
0.0144,0.36,0.007,0.22,0.0074,0.21,0.0089,0.23,0.0099,0.22,0.0089,0.26
0.0152,0.36,0.0074,0.22,0.0078,0.22,0.0093,0.25,0.0104,0.23,0.0092,0.26
0.016,0.38,0.0078,0.23,0.008,0.22,0.0098,0.26,0.0109,0.23,0.0097,0.27
0.0169,0.4,0.0082,0.24,0.0084,0.22,0.0104,0.26,0.0113,0.25,0.0101,0.28
0.0177,0.41,0.0086,0.25,0.0087,0.23,0.0109,0.28,0.0118,0.25,0.0105,0.29
0.0184,0.42,0.0091,0.25,0.0091,0.23,0.0114,0.29,0.0121,0.25,0.011,0.3
0.0194,0.44,0.0095,0.27,0.0093,0.23,0.012,0.29,0.0126,0.28,0.0115,0.3
0.0203,0.45,0.0099,0.27,0.0097,0.25,0.0126,0.3,0.013,0.28,0.012,0.31
0.0212,0.47,0.0104,0.27,0.0101,0.24,0.0131,0.32,0.0135,0.28,0.0125,0.32
0.0221,0.49,0.0108,0.29,0.0104,0.26,0.0137,0.32,0.0139,0.3,0.013,0.33
0.023,0.5,0.0113,0.29,0.0108,0.26,0.0143,0.33,0.0143,0.3,0.0136,0.34
0.0239,0.52,0.0118,0.3,0.0112,0.27,0.0148,0.36,0.0148,0.29,0.0141,0.35
0.0249,0.54,0.0122,0.31,0.0115,0.27,0.0154,0.34,0.0153,0.32,0.0147,0.36
0.0257,0.55,0.0127,0.32,0.0119,0.28,0.0159,0.36,0.0156,0.32,0.0153,0.37
0.0267,0.57,0.0132,0.33,0.0121,0.29,0.0165,0.39,0.0161,0.32,0.0159,0.38
0.0275,0.58,0.0137,0.34,0.0126,0.3,0.0171,0.39,0.0165,0.34,0.0165,0.39
0.0284,0.59,0.0143,0.35,0.013,0.3,0.0177,0.4,0.017,0.35,0.0171,0.4
0.0292,0.61,0.0148,0.36,0.0133,0.31,0.0183,0.42,0.0173,0.35,0.0177,0.4
0.0301,0.63,0.0154,0.37,0.0137,0.32,0.0188,0.42,0.0178,0.36,0.0183,0.42
0.0309,0.64,0.0159,0.38,0.0141,0.32,0.0194,0.42,0.0183,0.37,0.0189,0.43
0.0318,0.65,0.0165,0.39,0.0143,0.33,0.02,0.45,0.0188,0.37,0.0195,0.44
0.0326,0.68,0.0171,0.4,0.0148,0.33,0.0206,0.45,0.0192,0.4,0.0201,0.45
0.0333,0.69,0.0177,0.41,0.0152,0.34,0.0212,0.45,0.0196,0.4,0.0209,0.47
0.0342,0.71,0.0184,0.42,0.0155,0.35,0.0218,0.49,0.0203,0.4,0.0215,0.47
0.035,0.72,0.019,0.43,0.0159,0.36,0.0224,0.48,0.0207,0.42,0.0221,0.49
0.0359,0.74,0.0198,0.45,0.0164,0.36,0.023,0.49,0.0212,0.42,0.0228,0.51
0.0367,0.75,0.0204,0.45,0.0167,0.37,0.0236,0.52,0.0217,0.42,0.0234,0.52
0.0375,0.76,0.0211,0.47,0.0172,0.37,0.0241,0.52,0.0223,0.44,0.0241,0.53
0.0383,0.78,0.0217,0.48,0.0176,0.39,0.0247,0.52,0.0228,0.45,0.0249,0.55
0.0392,0.8,0.0224,0.49,0.0179,0.39,0.0253,0.56,0.0234,0.45,0.0255,0.55
0.04,0.8,0.023,0.51,0.0184,0.4,0.026,0.54,0.024,0.47,0.0262,0.57
0.0407,0.83,0.0238,0.52,0.0189,0.41,0.0266,0.55,0.0247,0.49,0.0269,0.58
0.0416,0.85,0.0244,0.53,0.0194,0.42,0.0272,0.58,0.0253,0.49,0.0276,0.59
0.0424,0.85,0.025,0.54,0.0199,0.42,0.0278,0.58,0.0261,0.51,0.0284,0.6
0.0432,0.88,0.0256,0.55,0.0204,0.43,0.0284,0.58,0.0267,0.52,0.0291,0.63
0.044,0.9,0.0263,0.56,0.0209,0.44,0.0289,0.61,0.0274,0.53,0.0298,0.63
0.0447,0.91,0.0269,0.57,0.0213,0.45,0.0295,0.61,0.0281,0.54,0.0306,0.64
0.0456,0.93,0.0275,0.58,0.0218,0.46,0.03,0.61,0.0287,0.56,0.0312,0.66
0.0463,0.95,0.0281,0.59,0.0223,0.47,0.0306,0.63,0.0295,0.57,0.0319,0.68
0.0472,0.95,0.0287,0.61,0.0228,0.48,0.0312,0.65,0.0302,0.58,0.0326,0.67
