Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
149181,1619882093,25.6584,-19.3301,-10.4813,-13.2228,21.9889,-0.569975,-2.64474,-1,2.54761,-1.91958,-1.04174,-1.3116,2.18404,-0.569288,-2.64438,1,0.0294247531836299
146644,1614382245,7.38536,-2.36361,-2.97007,6.33526,3.79579,1.28501,-2.24298,-1,54.2619,-17.361,-21.8159,46.5512,27.8808,1.28533,-2.24297,1,0.04965564418243624
147926,133375198,3.5377,-2.7427,-0.613156,-2.1487,2.8104,-0.70475,-2.92165,1,17.1578,-13.3022,-2.96618,-10.4232,13.6289,-0.704934,-2.9222,-1,0.024257557670572312
149181,665659149,8.45124,4.93305,6.7223,-1.37804,8.33813,-0.164527,0.937722,-1,9.60722,5.60475,7.64364,-1.56855,9.47831,-0.164742,0.938097,1,0.011136422228717914
147926,294935765,8.23131,6.86062,-2.50357,3.79718,7.30315,0.498973,-0.349903,-1,14.5498,12.1275,-4.42839,6.70881,12.9107,0.4987,-0.350109,1,0.04874808714109284
147114,399171712,24.8919,23.2827,-4.97616,-7.26363,23.8085,-0.300541,-0.21056,-1,2.82637,2.64405,-0.564051,-0.824137,2.70355,-0.300301,-0.210178,1,0.014603410223933683
149182,233450553,4.57387,-3.41514,2.97767,0.62491,4.53098,0.137486,2.42452,1,18.0942,-13.5153,11.7725,2.47826,17.9237,0.137831,2.425,-1,0.0664819787607105
146644,116360405,16.1823,15.1693,5.34577,-1.78363,16.0837,-0.110671,0.338818,-1,6.32142,5.92586,2.08834,-0.695255,6.28307,-0.110431,0.338821,1,0.027858167115807554
146511,53158595,4.38143,-2.84657,-3.03007,1.38298,4.15744,0.326803,-2.32498,-1,14.318,-9.30258,-9.90127,4.52002,13.5858,0.326852,-2.32503,1,0.043282869589668045
148031,417600633,2.6006,0.813922,-2.3065,0.88359,2.44589,0.353825,-1.23156,-1,18.8361,5.90096,-16.7028,6.40257,17.7146,0.35399,-1.23119,1,0.029198980735023264
147754,445453817,1.98934,0.676505,1.67963,-0.823801,1.81075,-0.440559,1.1879,-1,22.0198,7.47755,18.5875,-9.13569,20.0352,-0.441498,1.18832,1,0.04659592894254337
149181,1074662444,7.13379,6.39699,-2.77848,1.49985,6.97434,0.213428,-0.409757,-1,9.46727,8.48906,-3.68802,1.99084,9.25558,0.213471,-0.409843,1,0.013022864509980877
148031,161306691,13.5818,8.84959,-10.2029,1.43168,13.5061,0.105805,-0.85631,1,1.76208,1.14775,-1.32417,0.184828,1.75236,0.105279,-0.856646,-1,0.03748972973984497
147926,219666703,4.98202,-1.65153,-1.88587,4.3054,2.5068,1.30965,-2.29005,-1,25.4496,-8.43598,-9.64214,21.9896,12.8116,1.3091,-2.28957,1,0.059985533258141974
146644,914079813,6.53746,4.84387,-3.15474,-3.05335,5.78061,-0.506296,-0.577278,1,10.6649,7.9015,-5.14783,-4.98053,9.43047,-0.506231,-0.577429,-1,0.028925307257330685
149182,227768088,0.994475,0.358496,-0.56898,-0.732614,0.672501,-0.94319,-1.00856,1,37.4342,13.5185,-21.3892,-27.5875,25.3031,-0.943794,-1.00716,-1,0.03896647549965422
147929,258856968,16.811,-13.4396,0.66381,10.077,13.456,0.692253,3.09224,-1,2.42941,-1.94203,0.0958712,1.4565,1.94439,0.692408,3.09227,1,0.009886130009030677
149011,36385111,2.74918,0.460609,1.21222,-2.42412,1.29678,-1.38363,1.20767,1,33.6322,5.64274,14.8232,-29.6573,15.8609,-1.38386,1.20706,-1,0.041688077421777193
147926,565557592,2.81113,-1.68371,2.13897,0.701695,2.72214,0.255001,2.23766,-1,12.5361,-7.50281,9.54267,3.13032,12.139,0.255097,2.23709,1,0.016337462317872593
149181,1250223024,14.5717,11.0927,8.76389,-3.53261,14.137,-0.247354,0.668648,1,5.57867,4.2474,3.35498,-1.351,5.41261,-0.247081,0.668546,-1,0.04567732369493426
149011,285988919,20.014,3.80237,-19.4753,-2.61055,19.843,-0.131184,-1.37798,-1,2.90184,0.551707,-2.82378,-0.377532,2.87717,-0.130843,-1.37785,1,0.011554157131932035
148031,540816233,4.5984,3.36114,-1.33534,2.83988,3.61668,0.721084,-0.378166,-1,15.3427,11.2134,-4.45216,9.4782,12.0649,0.721384,-0.377951,1,0.0013645512204641882
147114,411361079,12.009,-11.9914,-0.222633,-0.610138,11.9935,-0.0508505,-3.12303,-1,2.55724,-2.55351,-0.0460365,-0.130235,2.55393,-0.050972,-3.12357,1,0.024603864345191986
147114,399040536,19.9833,2.24118,13.9993,14.0829,14.1775,0.876647,1.41205,1,2.71893,0.305415,1.90481,1.91599,1.92914,0.876545,1.41181,-1,0.030079140197951555
148029,215230115,3.26741,-1.05379,2.27512,2.09507,2.50732,0.760211,2.00455,-1,17.2482,-5.55823,12.0046,11.0677,13.229,0.761017,2.00441,1,0.05027763319898286
148031,470960816,5.92287,5.34245,-2.48699,-0.594578,5.89295,-0.100726,-0.43568,1,26.5116,23.9139,-11.1332,-2.65323,26.3785,-0.100414,-0.435713,-1,0.05473954179938642
146944,449938904,8.8456,-0.490903,-8.54494,2.23331,8.55903,0.258056,-1.62818,1,8.23919,-0.456721,-7.95932,2.07961,7.97242,0.25798,-1.62812,-1,0.013454542871174388
148031,541196995,3.89639,-0.299357,-3.68514,1.22963,3.69728,0.326731,-1.65185,1,15.1919,-1.16686,-14.3694,4.7908,14.4167,0.326478,-1.65182,-1,0.03210664278717367
147929,123119970,3.38746,-1.9604,-2.71512,-0.509727,3.34889,-0.151626,-2.19616,1,12.99,-7.51697,-10.4123,-1.95393,12.8422,-0.151569,-2.19609,-1,0.0435001684015391
147929,252498172,2.71035,0.258549,1.79285,2.01614,1.8114,0.959084,1.42757,-1,19.2859,1.83493,12.7636,14.3411,12.8948,0.958503,1.42801,1,0.05312926650278026
146644,908463569,19.8962,-11.2561,12.4762,-10.6538,16.8034,-0.597779,2.30483,-1,2.41704,-1.36666,1.51671,-1.29379,2.04161,-0.597517,2.3042,1,0.013122644550210385
148029,384195728,2.76283,-0.900627,-2.32585,1.18849,2.49413,0.460108,-1.94024,1,13.6801,-4.46431,-11.5165,5.88091,12.3515,0.45976,-1.94061,-1,0.018113211505612018
146644,661022994,2.02803,-1.79216,-0.19765,0.928451,1.80302,0.494536,-3.03175,1,17.6613,-15.6061,-1.72458,8.08677,15.7011,0.494628,-3.03153,-1,0.032969221390301555
149181,1517269539,3.67233,2.32386,-2.12281,-1.89192,3.14748,-0.56976,-0.740214,1,21.1437,13.3841,-12.2299,-10.8789,18.1302,-0.568859,-0.740367,-1,0.034781932088847396
146944,140039199,3.47801,-0.733209,2.16623,2.62038,2.28696,0.980804,1.89716,-1,16.7889,-3.52827,10.4579,12.6511,11.037,0.981098,1.89618,1,0.026039073698299376
148029,212817553,2.27079,-0.602277,-2.02629,0.829412,2.1139,0.382933,-1.85971,-1,17.1338,-4.55239,-15.2888,6.25261,15.9522,0.382561,-1.8602,1,0.011994608241092273
147114,505584052,18.848,-4.19449,1.55205,-18.3097,4.47243,-2.11724,2.7872,-1,64.6132,-18.2773,5.63852,-61.7172,19.1273,-1.88778,2.84236,1,2.18667306678452
146944,120171259,0.963391,-0.453317,-0.457907,0.716204,0.644341,0.95808,-2.35116,-1,23.4304,-15.8568,-2.30016,17.0955,16.0227,0.927934,-2.99754,1,2.0428876224322874
147115,123279224,26.2603,5.48691,-3.059,-25.4978,6.28201,-2.10889,-0.508589,-1,9.99571,2.71366,-0.0516594,-9.62017,2.71415,-1.97786,-0.0190345,1,2.073859679798054
