"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.933058332E-2,-2.327101135E1,-1.590628052E1,-3.679380035E1,4.635011838E1
3.934558333E-2,-2.325155640E1,-1.589968872E1,-3.687726593E1,4.640439331E1
4.936058333E-2,-2.324870300E1,-1.597128296E1,-3.684233093E1,4.639979978E1
5.937558331E-2,-2.329566956E1,-1.598925781E1,-3.692256927E1,4.649323292E1
6.938958331E-2,-2.324688721E1,-1.597482300E1,-3.699574280E1,4.652201328E1
7.940458332E-2,-2.329106140E1,-1.603213501E1,-3.671549988E1,4.634145903E1
8.941958332E-2,-2.316212463E1,-1.604696655E1,-3.678193665E1,4.633465244E1
9.943458333E-2,-2.319229126E1,-1.602328491E1,-3.657479095E1,4.617730359E1
1.094495833E-1,-2.305419922E1,-1.591740417E1,-3.693710327E1,4.635956703E1
1.194645833E-1,-2.316452026E1,-1.584524536E1,-3.682143402E1,4.629778400E1
1.294795833E-1,-2.314099121E1,-1.599078369E1,-3.686834717E1,4.637332919E1
1.394945833E-1,-2.316827393E1,-1.593771362E1,-3.671462250E1,4.624654730E1
1.495095833E-1,-2.319319153E1,-1.591618347E1,-3.668751526E1,4.623010713E1
1.595245833E-1,-2.321418762E1,-1.602554321E1,-3.675624847E1,4.633290779E1
1.695395833E-1,-2.308203125E1,-1.594641113E1,-3.662115479E1,4.613217069E1
1.795537083E-1,-2.318110657E1,-1.590087891E1,-3.669596863E1,4.622548826E1
1.895687083E-1,-2.324948120E1,-1.603468323E1,-3.671825409E1,4.632364003E1
1.995837083E-1,-2.323173523E1,-1.596896362E1,-3.659489441E1,4.619423793E1
2.095987083E-1,-2.329978943E1,-1.597930908E1,-3.646063232E1,4.612587360E1
2.196137083E-1,-2.325064087E1,-1.597460938E1,-3.637030029E1,4.602802612E1
2.296287083E-1,-2.319125366E1,-1.599897766E1,-3.657253265E1,4.616656450E1
2.396437083E-1,-2.319078064E1,-1.595323181E1,-3.679818726E1,4.632952080E1
2.496587083E-1,-2.312916565E1,-1.597828674E1,-3.691381836E1,4.639928811E1
2.596737083E-1,-2.322367859E1,-1.602938843E1,-3.692173767E1,4.647036963E1
2.696887083E-1,-2.326275635E1,-1.606204224E1,-3.683001709E1,4.642838779E1
2.797037083E-1,-2.314691162E1,-1.605961609E1,-3.680182648E1,4.634722450E1
2.897187083E-1,-2.308813477E1,-1.602847290E1,-3.682146454E1,4.632271755E1
2.997337083E-1,-2.310633850E1,-1.605403137E1,-3.687766266E1,4.638530808E1
3.097477083E-1,-2.318705750E1,-1.593150330E1,-3.693675995E1,4.643034211E1
3.197627083E-1,-2.318858337E1,-1.590777588E1,-3.677343750E1,4.629312517E1
3.297777083E-1,-2.309960938E1,-1.590231323E1,-3.661466980E1,4.612059804E1
3.397927083E-1,-2.313136292E1,-1.598394775E1,-3.671224976E1,4.624214331E1
3.498077083E-1,-2.306037903E1,-1.590161133E1,-3.679092407E1,4.624083064E1
3.598227083E-1,-2.310676575E1,-1.596368408E1,-3.678272247E1,4.627883431E1
3.698377083E-1,-2.319235229E1,-1.598646545E1,-3.681207275E1,4.635278830E1
3.798527083E-1,-2.320812988E1,-1.599003601E1,-3.683205414E1,4.637778300E1
3.898677083E-1,-2.325605774E1,-1.591760254E1,-3.666252899E1,4.624235422E1
3.998827083E-1,-2.319177246E1,-1.591896057E1,-3.659852600E1,4.615976301E1
4.098977083E-1,-2.303196716E1,-1.576651001E1,-3.684988403E1,4.622735448E1
4.199127083E-1,-2.314968872E1,-1.574143982E1,-3.667333221E1,4.613712509E1
4.299267083E-1,-2.309269714E1,-1.579507446E1,-3.665573883E1,4.611290739E1
4.399417083E-1,-2.297482300E1,-1.574011230E1,-3.661045074E1,4.599911663E1
4.499567083E-1,-2.304277039E1,-1.581040955E1,-3.661795807E1,4.606314329E1
4.599717083E-1,-2.298709106E1,-1.574188232E1,-3.675406647E1,4.612021917E1
4.699867083E-1,-2.288478088E1,-1.566304016E1,-3.686444092E1,4.613058668E1
4.800017083E-1,-2.310557556E1,-1.581231689E1,-3.666847229E1,4.613538607E1
4.900167083E-1,-2.330169678E1,-1.591596985E1,-3.671016693E1,4.630252180E1
5.000317083E-1,-2.322573853E1,-1.589787292E1,-3.665590668E1,4.621507100E1
5.100467083E-1,-2.317916870E1,-1.582383728E1,-3.662270355E1,4.613989709E1
5.200617083E-1,-2.316770935E1,-1.582507324E1,-3.672779083E1,4.621803024E1
5.300767083E-1,-2.310983276E1,-1.580859375E1,-3.671549988E1,4.617362817E1
5.400917083E-1,-2.307099915E1,-1.566284180E1,-3.675866699E1,4.613886880E1
5.501067083E-1,-2.302442932E1,-1.557820129E1,-3.656602478E1,4.593341778E1
5.601207083E-1,-2.302442932E1,-1.557820129E1,-3.656602478E1,4.593341778E1
5.701357083E-1,-2.298387146E1,-1.555853271E1,-3.644026947E1,4.580632627E1
5.801507083E-1,-2.305879211E1,-1.555451965E1,-3.681348419E1,4.613982655E1
5.901657083E-1,-2.311511230E1,-1.568885803E1,-3.666757965E1,4.609728930E1
6.001807083E-1,-2.308186340E1,-1.566842651E1,-3.677317047E1,4.615775205E1
6.101957083E-1,-2.306689453E1,-1.570741272E1,-3.648936462E1,4.593776408E1
6.202107083E-1,-2.315049744E1,-1.570379639E1,-3.657448578E1,4.604614818E1
6.302257083E-1,-2.320140076E1,-1.568064880E1,-3.659764862E1,4.608227022E1
6.402407083E-1,-2.310556030E1,-1.569163513E1,-3.664009094E1,4.607158120E1
6.502557083E-1,-2.319210815E1,-1.562933350E1,-3.672674561E1,4.616279659E1
6.602707083E-1,-2.310467529E1,-1.554324341E1,-3.655101776E1,4.594992204E1
6.702857083E-1,-2.306643677E1,-1.563348389E1,-3.669507599E1,4.607596907E1
6.802997083E-1,-2.314852905E1,-1.567549133E1,-3.674593353E1,4.617184269E1
6.903147083E-1,-2.315892029E1,-1.571838379E1,-3.657278442E1,4.605400893E1
7.003297083E-1,-2.302568054E1,-1.560269165E1,-3.675088501E1,4.608962465E1
7.103447083E-1,-2.309481812E1,-1.562033081E1,-3.694837952E1,4.628766690E1
7.203597083E-1,-2.318919373E1,-1.556884766E1,-3.686420441E1,4.625037610E1
7.303747083E-1,-2.312345886E1,-1.563360596E1,-3.676585388E1,4.616093583E1
7.403897083E-1,-2.313365173E1,-1.571449280E1,-3.684857941E1,4.625936587E1
7.504047083E-1,-2.318142700E1,-1.569479370E1,-3.666013336E1,4.612667867E1
7.604197083E-1,-2.315728760E1,-1.559133911E1,-3.675905609E1,4.615818485E1
7.704347083E-1,-2.319790649E1,-1.566419983E1,-3.676729584E1,4.620978322E1
7.804497083E-1,-2.328791809E1,-1.587680054E1,-3.674400330E1,4.630898080E1
7.904647083E-1,-2.319348145E1,-1.568197632E1,-3.664305878E1,4.611481020E1
8.004797083E-1,-2.324572754E1,-1.588945007E1,-3.666175842E1,4.622686452E1
8.104937083E-1,-2.319618225E1,-1.575840759E1,-3.703479767E1,4.645391823E1
8.205087083E-1,-2.316590881E1,-1.566250610E1,-3.680575562E1,4.622377175E1
8.305237083E-1,-2.319328308E1,-1.580830383E1,-3.699351501E1,4.643652661E1
8.405387083E-1,-2.336331177E1,-1.584349060E1,-3.691954041E1,4.647486412E1
8.505537083E-1,-2.325732422E1,-1.575210571E1,-3.689046478E1,4.636742775E1
8.605687083E-1,-2.324597168E1,-1.569686890E1,-3.695835876E1,4.639705998E1
8.705837083E-1,-2.313539124E1,-1.574928284E1,-3.679974365E1,4.623318473E1
8.805987083E-1,-2.317373657E1,-1.574031067E1,-3.671629333E1,4.618295836E1
8.906137083E-1,-2.323863220E1,-1.581607056E1,-3.697856903E1,4.644993737E1
9.006287083E-1,-2.322157288E1,-1.587991333E1,-3.685858154E1,4.636774879E1
9.106437083E-1,-2.304010010E1,-1.564656067E1,-3.678581238E1,4.613953907E1
9.206587083E-1,-2.311312866E1,-1.576919556E1,-3.670372009E1,4.615243562E1
