,mass
0,8.947903996959312
1,15.893036894183407
3,3.726213905547919
6,65.3239855163469
9,34.26849068717646
10,14.711556835437193
14,12.787724450468058
17,10.023391725976543
20,97.55448087503925
22,2.3656386081627097
23,24.167983615349446
25,57.9058304704414
26,91.24611209063285
28,19.63863750710574
32,9.656336083089387
33,86.99871530150259
34,42.38036198155631
35,21.051834647704137
36,31.07084428619544
37,51.20862572827708
39,20.215640092593926
40,23.452788902388523
42,22.35909190075667
44,26.433892765847244
46,65.20895610116324
48,7.249062814660581
49,88.61348574668023
53,23.68767117106896
55,26.442788229092336
57,16.53881040773531
58,60.918854269986895
60,2.8468883269902214
62,51.06095210271197
63,64.305333722203
65,15.815360701513708
66,5.578257782314325
69,17.943950100409854
70,3.1324616291433847
72,17.993011699814218
73,23.592957665968875
78,28.415184680458264
80,78.58076225574676
82,33.2563231213825
83,27.295328797563513
84,4.991284378624204
86,33.383939071123706
88,46.593159221070536
90,2.700318591629514
94,65.4137517370308
99,15.378955097583853
101,18.931194416214208
102,9.108476116030618
103,66.25627987462167
105,23.13372710286871
106,15.153243124215996
107,17.888885271659603
108,7.795081945147465
109,57.75068903048344
111,22.655185918416194
112,3.096538542228493
114,7.043804658826065
120,15.60756575581355
121,15.678346983161193
123,2.6312348805456436
124,85.74648562669316
125,15.330744951365642
126,69.21069795404178
127,16.272352407808178
129,28.494456152348093
132,39.6667020654965
133,18.4659775530094
135,2.5718917443088465
136,8.148746963104205
138,11.028467052414879
141,28.482630855277442
143,33.50975261379587
144,3.493946262414362
146,12.480159274284105
149,3.217362164825569
151,30.383341530815933
152,13.723243402326585
153,51.99989294219349
154,23.346859716078196
155,109.90258475340741
156,6.550979875644253
161,25.424143498599037
163,15.824038857026975
164,90.01471118894176
165,24.206649626169284
166,15.325853676260847
168,10.368359475490807
170,6.900255959110141
171,5.307871640563791
173,97.41370029642599
174,12.160735269135676
175,3.7564541416473443
179,17.44544717154058
180,19.766523169089094
181,2.1138718333667175
182,30.833071333530437
183,67.87253252275696
185,70.68063255199687
186,12.672896345200686
189,3.2351390912907942
190,16.130675852849407
192,39.28991496468655
193,13.545866400673642
194,28.374411870051297
195,38.64405409806092
200,15.439041365252383
201,7.511885524913163
203,20.15607556419654
206,5.356366088704072
207,74.4386754116383
208,6.038726162544474
209,5.124832936677146
211,14.788810041639714
213,17.023841356981414
214,30.16759780720042
218,20.428373844699742
220,2.021395668163592
221,14.377648227742242
225,17.47439183226417
226,5.952525327863708
227,2.1926635931238914
229,32.5912524893874
230,11.023187866839564
232,24.974508151405107
234,46.11755779525624
235,13.968061914125956
237,97.0138170886499
240,18.983218182295406
241,90.66412155262962
243,93.46091333798317
244,34.925064616329635
245,3.0696729863734684
248,62.20142204538013
249,26.647323346398228
250,3.1319564189017712
255,41.360377783787236
257,22.1616031727558
258,91.1329615505828
259,23.90042798147557
260,33.98224034478445
262,72.34849156702053
263,61.2275695392198
266,66.38499105145003
269,31.007360853817843
270,2.7104018124866434
271,30.032560468969344
276,9.632587579663817
280,11.272440768440292
282,16.350480463068955
283,6.359794752623693
285,66.25166514934975
287,13.290515272639924
288,22.443589100992735
289,93.15318624466049
290,22.595666672399815
291,103.88953369979625
292,2.0804046827240095
293,6.679233678252972
294,14.80425649370512
296,21.737157882862395
298,22.620495584249507
302,20.08175093020029
303,29.756643798970345
304,2.9153992048946047
305,2.9373624537670464
307,66.68831275921139
308,3.848854424306009
310,32.573901074019346
312,15.333583039035588
313,18.221220121153326
315,25.86602851269982
317,106.21661887818497
318,14.215352328591784
319,7.397528920419656
321,4.3796384134459565
322,31.868542905770354
323,24.458735383691945
324,70.4803525325321
327,19.87222201291542
329,21.220731314449925
332,3.0151550290337474
333,10.040441859988142
336,29.860575862215317
338,44.03731372458475
339,21.226131757830135
344,23.211204139759918
346,86.68372464834447
347,35.05596511339404
348,21.044851117127816
349,15.373896937325327
353,12.513088926296302
354,92.08720406004247
355,9.636813670313801
356,15.409267370646687
357,47.68635758876678
359,40.07220498077922
360,9.535149489534593
363,14.55102889231549
364,16.948368072789897
365,40.24057771542922
367,14.202253626902749
368,17.455346143888654
370,14.211285731748545
371,94.38941969002674
372,3.1124480213250196
374,43.003461101950855
377,46.060422781498595
378,3.2158128036580784
380,35.22456043095215
381,20.955117985112278
382,2.4400573009960254
383,35.48973342689121
386,12.735163594883234
388,15.993625904534595
389,28.675558895594445
390,2.383727332897361
394,11.69978442015069
397,2.533076596216796
398,22.230932288111532
399,24.730061711105776
401,26.160961845239953
402,68.38952880600581
403,26.202438836928902
405,94.71865842762239
408,4.41666909616023
409,14.78120440843034
410,22.474757001649653
411,11.670896247011193
414,23.514594624232835
415,86.15683412916246
418,41.770393222724195
419,14.331188865016658
421,8.562159659600248
422,14.391441277057902
423,53.56875474138912
425,12.379615908261371
431,20.9152123293706
432,13.773669881210855
434,9.088713681979312
436,3.618115119792488
440,24.35656133095702
441,91.82342666661924
442,7.437833073577277
443,32.897335860272925
445,7.859036053703769
446,12.144069468163423
447,42.90199252252977
449,18.240973106090028
455,39.67627433443694
456,38.54856739797734
458,92.43659508145247
459,20.637444872035047
461,53.34660148714735
466,15.375974866798455
467,51.16194930790559
469,44.0827711211789
473,95.39289719190366
474,7.798294978787489
477,24.567791059751382
479,3.9931246156232234
480,40.25530762332714
482,13.455900591272238
483,15.256165026922728
484,14.178423911289267
485,22.053265506325246
486,9.120809563996172
487,9.964195493445386
488,22.80561136101157
490,71.06012683713632
493,85.25193693146069
494,4.6419049330497355
495,10.182838559655163
496,9.34153196966636
497,2.5035213390542363
498,87.8245966024325
499,9.222048217401351
500,3.9952263849162533
502,8.003476393155683
503,90.52850260410588
504,33.00839623599793
505,24.448079201593732
507,24.679062501286396
511,15.180182973798441
512,10.661524347442068
513,17.195293200609594
514,93.95283835856158
516,26.231400322641264
517,28.780127139837305
518,22.309787937637594
522,20.985789983462627
523,36.45449974552145
526,32.33573506738945
527,3.063055485746881
528,43.193429460434125
532,13.034620646470676
533,34.41019899958152
534,25.958334862897072
536,21.304404194154312
538,3.172437347655576
541,15.599255542076214
542,12.585535433743727
543,12.383220786574027
544,11.633288662206178
546,19.652181189120427
547,13.234766811164452
548,65.13255421465598
550,2.5952436169846798
552,68.59150323232173
553,30.74239303632694
555,17.26510907691577
558,35.87529995841572
559,11.325559188909835
560,46.67634012794912
561,9.849007099853207
563,18.815897161671625
564,66.82223757757443
565,22.36449014972406
566,46.2798946665223
567,44.08819642738178
569,29.746793571516207
570,32.333162108360206
571,4.314688384808408
576,58.30816270894068
577,17.5541661546825
579,14.629032317080952
581,29.22742034801395
585,3.0776918602744865
586,9.318730576472056
587,13.10151229546438
588,17.337097260614296
589,71.93889982434747
590,2.685266507469239
592,3.901453976797498
593,18.683840720968647
597,11.388680564380612
598,18.986108541714795
599,22.880508396408484
602,6.006809708804777
605,14.572794935645556
608,89.71485406851978
609,101.68433920139077
612,90.88416346371898
613,20.052013317245724
615,3.1076505371421552
616,13.019797698800922
622,25.73739505138527
623,10.669453600337366
625,63.16112758901475
627,24.340980633793286
628,10.793923724920434
629,12.619630974969116
630,63.923554394406146
631,2.68483466074373
632,26.968295992928436
634,49.18229885231032
636,51.374982919777565
637,17.84286719424319
638,11.000567794197668
639,3.150213348609343
640,2.5800975130847577
641,19.243105991727923
643,2.966883575619247
645,5.6218690468881425
648,20.721629512574637
652,21.50606015668842
653,12.486826829111088
655,67.04350515309939
656,81.10963403715925
657,3.422293122489533
658,25.866444827684596
660,45.699298435034855
662,14.26620105029367
664,2.5067801352930537
665,16.448850054760655
666,85.91660528569021
669,63.9257685389593
670,27.112787276281043
671,8.286511971908567
678,17.010109780936165
679,16.42269350465387
681,98.74483644042357
682,24.314403192811458
683,35.70411402826151
685,54.026053294591115
687,4.774391627495474
689,36.45052831935772
692,12.673847968170517
693,10.691768221800393
694,92.84869556599865
696,98.2199919545404
699,7.610139700476989
700,9.860755776668436
701,54.480679203181666
702,89.02658397686615
703,12.670122325008427
704,2.854695567722335
707,90.1241375233067
708,23.67472532034113
709,5.244374374424755
713,27.35630836541908
716,18.60630431429893
721,18.69151996761214
723,22.943532105657926
724,2.028967093744871
727,61.73411852840858
730,19.053147376165953
731,23.67000184506818
734,3.033904851831052
735,18.300995638642178
739,22.438901361089403
740,19.6190993096829
745,12.209912288562885
747,9.382080133579128
749,16.999614565451186
751,29.302241349767012
752,54.56868266561875
753,11.141445200017746
755,3.20978843521858
756,10.550170761381068
758,26.421365553322556
759,3.5960083337915822
761,3.03647420346365
762,53.179080946373986
766,11.507032680743574
767,48.03849910821677
768,6.709359694325242
769,49.538935165927825
771,7.573076964222626
773,52.82575349112117
775,45.633993328724806
778,50.06785244893874
779,30.256373542139787
782,29.762440272109348
784,13.675702414201242
786,13.417716816209811
787,97.95378052489858
788,16.181284081017886
789,13.979972371242313
791,15.2488969148652
792,3.1433429868213945
793,13.41408825604032
799,73.46002928708509
801,48.988206686405654
802,65.65750294817953
803,9.34166059365785
804,24.781241218861513
805,22.06456072198803
806,17.60708249679782
807,31.530381430946882
808,8.862961499448227
809,16.473403732850716
813,15.558756306989967
815,18.052910008367057
819,55.68754304315464
821,13.974971430918925
822,22.687976127753164
823,16.933510275778616
825,31.793581614193766
831,30.90862750987659
832,27.93096461955083
833,33.56508054184289
835,15.126312215772762
836,63.76646598403514
838,11.077959754734744
839,16.79850253539022
840,36.15443473183614
841,43.58551271805775
843,28.01550919596144
844,68.87286517343048
850,72.0125347077882
851,22.152026970518158
854,13.008672877221269
855,11.432323400680902
856,19.159097713692983
857,12.370642038047176
860,7.857871466078084
861,41.708199454633615
864,60.65085488504265
866,23.814407075538536
868,13.699808803476019
870,71.06268808039843
871,27.777259242837395
874,26.860037550286503
877,10.707786233770033
879,7.015425014574388
880,18.31260085183356
882,9.629100834413359
884,9.984633079366464
888,96.66204562814454
891,64.79628812877942
892,12.324957868937124
895,26.239903793317062
896,13.108767493904184
898,10.122240602539543
899,8.018303371347134
900,33.29812561042316
901,24.4335593804791
902,19.040546376181016
903,55.01457435326661
904,22.652307979332942
906,8.13019937895129
907,8.760613131110397
908,4.12872113165033
909,12.65890891930013
910,2.7538353419975943
914,11.981262455292418
917,40.76109107592066
918,25.163379697884423
920,16.78267515145
926,18.889554575349308
927,18.168769138633362
928,19.704751364807343
931,17.122125354022614
932,86.01738708477431
936,96.9831165133571
938,11.352983198164264
942,3.5065837427071456
946,21.36679026265527
947,33.08813247792038
948,69.31953367325691
949,14.298558355560582
950,5.754092129172044
951,55.42856836703795
952,14.987068954502078
954,16.834277638909846
955,3.4539187990891014
956,59.080390729475546
958,57.29012131809027
959,2.1153656082034
961,41.238021600906094
963,4.559953751991299
964,74.44300845565756
965,28.49490012980214
966,8.72473813862691
968,9.97819933104961
969,11.371252565168668
970,6.433476291275601
971,16.369676163171356
973,14.898814406515703
978,14.145497965678912
980,7.53967763903073
981,2.487095635778811
982,32.820694635386616
986,16.96063603551471
987,10.353258532840565
989,4.778034715978705
990,4.895225034684337
991,91.69584437770062
993,79.17342887937778
994,12.949101130669263
1000,48.801045193186184
1001,19.024379238650592
1002,8.903395518667637
1007,90.34013515747029
1008,44.46085901164079
1010,14.36705716223406
1012,7.243313170157228
1013,12.851011934376999
1015,13.161578440882382
1016,46.18177691959026
1019,86.89616323979212
1020,17.533748018655334
1026,15.671742421114967
1027,40.563942113087315
1031,29.493495770752304
1032,10.729420380943473
1035,49.543707455432966
1036,14.469914658718626
1038,13.989247623313243
1039,10.662050882470972
1040,6.271738096849598
1043,10.569000280178093
1044,10.688154157023563
1045,62.654671655108025
1048,7.796766728580485
1049,74.04923144413868
1050,8.480247911131533
1052,10.933515207704255
1053,20.444449901571595
1055,25.233525390939683
1056,25.492650570625237
1057,2.9412058960886847
1058,17.572541382836985
1059,9.586400911165784
1060,6.7826660716012706
1061,18.624889558026926
1063,56.57446902618088
1068,8.63672664356323
1069,20.732213668176335
1071,54.31903528796788
1073,29.307203192716933
1075,17.312949699756548
1077,18.253087834067987
1078,6.748483074762716
1081,38.625235234967825
1082,23.667175183019857
1087,14.742711050546164
1088,83.22225935468465
1090,25.400181840383322
1093,11.966216075567742
1094,6.924695724708771
1096,18.39707735511638
1097,73.33248710055838
1098,91.97522600634586
1099,10.31171370774519
1100,79.53857224555831
1103,34.72140669554587
1104,38.88812909332526
1105,13.814939691851718
1106,26.340349955832608
1108,16.92004053448454
1109,18.068216189456145
1111,34.07077994346769
1113,22.264461051501627
1114,6.159275589453601
1115,101.30756535652954
1116,69.12605500673318
1122,19.003838014061827
1123,2.7248258493525768
1127,57.889704370558874
1128,24.82520336019224
1130,44.86718771428626
1131,31.538152413310453
1132,29.557749797714642
1133,32.67781623725642
1136,15.619466465162736
1137,32.44657061817799
1140,16.012500320296674
1143,30.82848673907624
1144,18.25431093254222
1145,11.899461163632585
1147,8.617198322749672
1148,24.312333410405095
1151,8.305864552402953
1153,23.103575990489002
1155,3.272738148354075
1157,34.94090120054313
1159,15.269850814479971
1160,20.702511606076154
1163,17.46807596470201
1167,22.876149305233692
1168,19.05233813000585
1169,3.681031247612582
1171,17.03518722939965
1174,40.90840267829161
1175,24.018511139729455
1176,11.762159417975067
1179,14.040709557533049
1180,26.053323669182785
1181,16.99638254376538
1182,9.77403887124125
1183,16.115695871542364
1185,15.283103414984085
1187,86.11121781336041
1188,10.984512721878009
1189,42.66438900148223
1190,15.241030080348217
1192,3.8199164032738078
1194,3.7678976675329534
1197,81.35440315643646
1200,19.971599894217324
1201,15.473338023348392
1205,16.837249431430294
1207,32.71490412343585
1209,12.443900046038607
1210,17.470496278135602
1211,25.534460016568694
1212,16.428410163713345
1213,41.76514226024857
1214,13.892921939652073
1219,47.74533713118579
