"run: 178424,event: 666626491,lumi: 585,date_time: 2011-Oct-13 12:47:38.421105 GMT",,
"pt: 25.0167,eta: 2.32682,phi: -0.408024,charge: -1",,
x,y,z
0.0387262,-0.0159576,0.224548
0.131212,-0.0554777,0.734894
0.223866,-0.0945638,1.24524
0.316684,-0.133215,1.75559
0.409664,-0.171429,2.26593
0.502801,-0.209208,2.77628
0.596094,-0.246548,3.28664
0.689542,-0.283446,3.79699
0.783149,-0.319893,4.30735
0.876926,-0.355869,4.81771
0.970898,-0.391337,5.32808
1.0651,-0.426536,5.83842
1.15948,-0.461737,6.34872
1.25393,-0.497024,6.85901
1.34841,-0.532366,7.36929
1.44289,-0.567797,7.87956
1.53734,-0.60334,8.38983
1.63176,-0.638966,8.9001
1.72599,-0.675062,9.41037
1.82017,-0.711249,9.92064
1.91422,-0.747668,10.4309
