"run: 178424,event: 666626491,lumi: 585,date_time: 2011-Oct-13 12:47:38.421105 GMT",
"pt: 30.6535,eta: 1.66002,phi: 2.71109,charge: 1, dimensions in m",
x,y
-0.0412532,0.0197576
-0.212567,0.0994693
-0.383331,0.180271
-0.553554,0.262127
-0.723251,0.344987
-0.892447,0.428784
-1.06118,0.513433
-1.22951,0.598816
-1.39753,0.684776
-1.56536,0.771095
-1.73321,0.857462
-1.90069,0.945089
-2.06738,1.0349
-2.23341,1.12634
-2.39885,1.21908
-2.56418,1.31211
-2.73002,1.40416
-2.8964,1.49514
-3.06283,1.58604
-3.22989,1.67575
-3.39715,1.76507
