"run: 178424,event: 666626491,lumi: 585,date_time: 2011-Oct-13 12:47:38.421105 GMT",,
"pt: 15.6571,eta: 0.316655,phi: 2.56765,charge: -1",,
x,y,z
-0.0380117,0.0253806,0.0293384
-0.356492,0.223704,0.1502
-0.678912,0.41249,0.270698
-1.00521,0.591778,0.390944
-1.33536,0.761556,0.511062
-1.66937,0.921671,0.631185
-2.00733,1.07177,0.751467
-2.3494,1.21127,0.872102
-2.69578,1.33943,0.993342
-3.04647,1.456,1.11553
-3.39891,1.56706,1.23899
-3.75186,1.67716,1.36211
-4.10492,1.78852,1.48349
-4.45781,1.90136,1.60362
-4.80962,2.01775,1.72282
-5.16112,2.13531,1.84154
-5.51121,2.25669,1.95995
-5.86019,2.38109,2.0781
-6.20866,2.50675,2.19623
-6.55541,2.63636,2.31479
-6.9012,2.76817,2.43358
