"run: 178424,event: 666626491,lumi: 585,date_time: 2011-Oct-13 12:47:38.421105 GMT",,
"pt: 8.51924,eta: -0.55083,phi: -1.2578,charge: 1",,
x,y,z
0.0159878,-0.047147,-0.014479
0.106761,-0.357359,-0.201838
0.18334,-0.668124,-0.387685
0.246074,-0.979292,-0.572295
0.295255,-1.29074,-0.755907
0.331064,-1.60236,-0.938704
0.353447,-1.91409,-1.1208
0.36205,-2.22591,-1.30222
0.35626,-2.53787,-1.48285
0.335331,-2.85015,-1.66235
0.298419,-3.16316,-1.83995
0.248863,-3.47745,-2.01481
0.198317,-3.79288,-2.1876
0.148457,-4.10895,-2.35928
0.0991618,-4.42532,-2.53046
0.0510788,-4.7418,-2.70148
0.0103648,-5.05857,-2.87228
-0.0287438,-5.37529,-3.0432
-0.063853,-5.69226,-3.21385
-0.0917614,-6.00977,-3.3838
-0.116869,-6.32739,-3.55367
